county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Morrow County, OR",8,12303,65.02
"Multnomah County, OR",6311,803377,785.56
"Polk County, OR",125,89164,140.19
"Sherman County, OR",1,1907,52.44
"Tillamook County, OR",65,27748,234.25
"Umatilla County, OR",97,79988,121.27
"Union County, OR",59,26212,225.09
"Wallowa County, OR",20,7545,265.08
"Wasco County, OR",87,26726,325.53
"Washington County, OR",2180,600811,362.84
"Wheeler County, OR",0,1451,0
"Yamhill County, OR",217,108239,200.48
"Adams County, PA",148,104127,142.13
"Allegheny County, PA",9364,1238090,756.33
"Armstrong County, PA",63,65093,96.78
"Beaver County, PA",242,166624,145.24
"Bedford County, PA",34,47461,71.64
"Berks County, PA",949,429342,221.04
"Blair County, PA",344,121767,282.51
"Bradford County, PA",295,59892,492.55
"Bucks County, PA",2053,646098,317.75
"Butler County, PA",413,194273,212.59
"Cambria County, PA",344,132167,260.28
"Cameron County, PA",2,4459,44.85
"Carbon County, PA",55,65412,84.08
"Centre County, PA",454,157527,288.2
"Chester County, PA",1752,538649,325.26
"Clarion County, PA",27,37156,72.67
"Clearfield County, PA",123,80082,153.59
"Clinton County, PA",36,37465,96.09
"Columbia County, PA",135,64872,208.1
"Crawford County, PA",121,83351,145.17
"Cumberland County, PA",849,262919,322.91
"Dauphin County, PA",1988,287400,691.72
"Delaware County, PA",2663,573849,464.06
"Elk County, PA",33,30783,107.2
"Erie County, PA",631,269011,234.56
"Fayette County, PA",135,126931,106.36
"Forest County, PA",1,7032,14.22
"Franklin County, PA",284,156289,181.71
"Fulton County, PA",10,14523,68.86
"Greene County, PA",27,35369,76.34
"Huntingdon County, PA",34,43889,77.47
"Indiana County, PA",125,82886,150.81
"Jefferson County, PA",45,44114,102.01
"Juniata County, PA",6,23297,25.75
"Lackawanna County, PA",758,215663,351.47
"Lancaster County, PA",1315,553652,237.51
"Lawrence County, PA",104,85497,121.64
"Lebanon County, PA",344,143493,239.73
"Lehigh County, PA",1610,375539,428.72
"Luzerne County, PA",806,326053,247.2
"Lycoming County, PA",297,113605,261.43
"McKean County, PA",60,39941,150.22
"Mercer County, PA",184,109972,167.32
"Mifflin County, PA",75,46136,162.56
"Monroe County, PA",247,169273,145.92
"Montgomery County, PA",6138,860578,713.24
"Montour County, PA",817,18087,4517.06
"Northampton County, PA",1065,313628,339.57
"Northumberland County, PA",84,91266,92.04
"Perry County, PA",17,45986,36.97
"Philadelphia County, PA",10604,1576251,672.74
"Pike County, PA",47,59952,78.4
"Potter County, PA",22,16259,135.31
"Schuylkill County, PA",157,143264,109.59
"Snyder County, PA",29,39621,73.19
"Somerset County, PA",85,73627,115.45
"Sullivan County, PA",3,5868,51.12
"Susquehanna County, PA",30,38389,78.15
"Tioga County, PA",41,40929,100.17
"Union County, PA",186,42568,436.95
"Venango County, PA",91,49938,182.23
"Warren County, PA",69,38134,180.94
"Washington County, PA",467,209470,222.94
"Wayne County, PA",83,51431,161.38
"Westmoreland County, PA",740,353057,209.6
"Wyoming County, PA",21,26034,80.66
"York County, PA",1016,458696,221.5
"Bristol County, RI",403,50818,793.03
"Kent County, RI",592,170715,346.78
"Newport County, RI",296,85264,347.16
"Providence County, RI",3793,658221,576.25
"Washington County, RI",422,130592,323.14
"Abbeville County, SC",22,24299,90.54
"Aiken County, SC",306,170776,179.18
"Allendale County, SC",7,7858,89.08
"Anderson County, SC",411,206908,198.64
"Bamberg County, SC",6,13189,45.49
"Barnwell County, SC",10,20580,48.59
"Beaufort County, SC",794,191748,414.09
"Berkeley County, SC",301,236701,127.16
"Calhoun County, SC",6,14165,42.36
"Charleston County, SC",4109,413024,994.86
"Cherokee County, SC",30,56052,53.52
"Chester County, SC",18,32209,55.89
"Chesterfield County, SC",24,43268,55.47
"Clarendon County, SC",31,31024,99.92
"Colleton County, SC",45,38462,117
"Darlington County, SC",78,62755,124.29
"Dillon County, SC",26,28087,92.57
"Dorchester County, SC",184,163327,112.66
"Edgefield County, SC",34,26153,130
"Fairfield County, SC",29,20690,140.16
"Florence County, SC",507,136504,371.42
"Georgetown County, SC",173,63921,270.65
"Greenville County, SC",2425,533834,454.26
"Greenwood County, SC",263,69241,379.83
"Hampton County, SC",11,18180,60.51
"Horry County, SC",864,365579,236.34
"Jasper County, SC",23,30324,75.85
"Kershaw County, SC",154,66130,232.87
"Lancaster County, SC",127,100336,126.57
"Laurens County, SC",73,67803,107.66
"Lee County, SC",6,16280,36.86
"Lexington County, SC",721,300137,240.22
"Marion County, SC",34,28784,118.12
"Marlboro County, SC",11,26382,41.7
"McCormick County, SC",17,9760,174.18
"Newberry County, SC",45,37996,118.43
"Oconee County, SC",173,79203,218.43
"Orangeburg County, SC",124,82962,149.47
"Pickens County, SC",245,132229,185.28
"Richland County, SC",1833,418307,438.19
"Saluda County, SC",4,18821,21.25
"Spartanburg County, SC",771,335864,229.56
"Sumter County, SC",195,104758,186.14
"Union County, SC",16,27016,59.22
"Williamsburg County, SC",14,30484,45.93
"York County, SC",432,288595,149.69
"Anderson County, TN",180,77576,232.03
"Bedford County, TN",31,51119,60.64
"Benton County, TN",8,15872,50.4
"Bledsoe County, TN",3,15234,19.69
"Blount County, TN",277,137605,201.3
"Bradley County, TN",157,110162,142.52
"Campbell County, TN",35,39578,88.43
"Cannon County, TN",9,14553,61.84
"Carroll County, TN",24,28432,84.41
"Carter County, TN",51,56134,90.85
"Cheatham County, TN",43,41523,103.56
"Chester County, TN",6,17504,34.28
"Claiborne County, TN",33,32267,102.27
"Clay County, TN",3,7555,39.71
"Cocke County, TN",25,36418,68.65
"Coffee County, TN",104,59032,176.18
"Crockett County, TN",4,13979,28.61
"Cumberland County, TN",103,62451,164.93
"Davidson County, TN",5445,703953,773.49
"Decatur County, TN",5,11391,43.89
"DeKalb County, TN",11,20478,53.72
"Dickson County, TN",67,55292,121.17
"Dyer County, TN",43,36615,117.44
"Fayette County, TN",51,42832,119.07
"Fentress County, TN",15,18850,79.58
"Franklin County, TN",73,43215,168.92
"Gibson County, TN",42,50541,83.1
"Giles County, TN",35,30542,114.6
"Grainger County, TN",7,23763,29.46
"Greene County, TN",104,70621,147.27
"Grundy County, TN",3,13622,22.02
"Hamblen County, TN",122,64468,189.24
"Hamilton County, TN",1867,369135,505.78
"Hancock County, TN",2,6787,29.47
"Hardeman County, TN",15,25426,58.99
"Hardin County, TN",23,26892,85.53
"Hawkins County, TN",34,57288,59.35
"Haywood County, TN",9,17694,50.86
"Henderson County, TN",12,27953,42.93
"Henry County, TN",70,32239,217.13
"Hickman County, TN",12,25307,47.42
"Houston County, TN",5,8317,60.12
"Humphreys County, TN",10,19211,52.05
"Jackson County, TN",2,11750,17.02
"Jefferson County, TN",53,55624,95.28
"Johnson County, TN",17,18170,93.56
"Knox County, TN",2370,486677,486.98
"Lake County, TN",4,7128,56.12
"Lauderdale County, TN",11,25108,43.81
"Lawrence County, TN",36,44828,80.31
"Lewis County, TN",5,12857,38.89
"Lincoln County, TN",29,35433,81.84
"Loudon County, TN",94,56690,165.81
"Macon County, TN",15,25699,58.37
"Madison County, TN",491,98775,497.09
"Marion County, TN",29,28877,100.43
"Marshall County, TN",18,34984,51.45
"Maury County, TN",220,104760,210
"McMinn County, TN",57,54059,105.44
"McNairy County, TN",16,25860,61.87
"Meigs County, TN",8,13049,61.31
"Monroe County, TN",24,46698,51.39
"Montgomery County, TN",274,227900,120.23
"Moore County, TN",3,6644,45.15
"Morgan County, TN",7,21254,32.94
"Obion County, TN",38,30466,124.73
"Overton County, TN",26,22839,113.84
"Perry County, TN",2,8472,23.61
"Pickett County, TN",4,5079,78.76
"Polk County, TN",13,17776,73.13
"Putnam County, TN",206,81188,253.73
"Rhea County, TN",28,33136,84.5
"Roane County, TN",47,53992,87.05
"Robertson County, TN",59,74098,79.62
"Rutherford County, TN",553,352182,157.02
"Scott County, TN",11,21917,50.19
"Sequatchie County, TN",12,16396,73.19
"Sevier County, TN",95,99517,95.46
"Shelby County, TN",4494,924454,486.12
"Smith County, TN",16,20172,79.32
"Stewart County, TN",3,13855,21.65
"Sullivan County, TN",719,159265,451.45
"Sumner County, TN",308,200557,153.57
"Tipton County, TN",34,61004,55.73
"Trousdale County, TN",7,12035,58.16
"Unicoi County, TN",13,17698,73.45
"Union County, TN",6,20040,29.94
"Van Buren County, TN",2,6324,31.63
"Warren County, TN",33,41523,79.47
"Washington County, TN",1066,134236,794.12
"Wayne County, TN",4,16409,24.38
"Weakley County, TN",46,33036,139.24
"White County, TN",22,27650,79.57
"Williamson County, TN",1689,255735,660.45
"Wilson County, TN",194,151917,127.7
"Anderson County, TX",67,58402,114.72
"Andrews County, TX",13,18440,70.5
"Angelina County, TX",190,86506,219.64
"Aransas County, TX",20,24510,81.6
"Archer County, TX",4,8681,46.08
"Armstrong County, TX",0,1839,0
"Atascosa County, TX",26,49939,52.06
"Austin County, TX",24,30380,79
"Bailey County, TX",3,6835,43.89
"Bandera County, TX",22,21565,102.02
"Bastrop County, TX",64,102058,62.71
"Baylor County, TX",8,3477,230.08
"Bee County, TX",16,30924,51.74
"Bell County, TX",1675,379617,441.23
"Bexar County, TX",8167,2028236,402.67
"Blanco County, TX",13,11886,109.37
"Borden County, TX",0,617,0
"Bosque County, TX",16,18503,86.47
"Bowie County, TX",294,92581,317.56
"Brazoria County, TX",916,379689,241.25
"Brazos County, TX",693,237032,292.37
"Brewster County, TX",18,9450,190.48
"Briscoe County, TX",0,1403,0
"Brooks County, TX",0,6994,0
"Brown County, TX",59,38192,154.48
"Burleson County, TX",14,18051,77.56
"Burnet County, TX",80,50954,157
"Caldwell County, TX",26,46791,55.57
"Calhoun County, TX",17,19727,86.18
"Callahan County, TX",5,14115,35.42
"Cameron County, TX",680,423029,160.75
"Camp County, TX",15,12616,118.9
"Carson County, TX",0,5746,0
"Cass County, TX",11,28560,38.52
"Castro County, TX",3,7374,40.68
"Chambers County, TX",18,48865,36.84
"Cherokee County, TX",75,51097,146.78
"Childress County, TX",13,6736,192.99
"Clay County, TX",6,10263,58.46
"Cochran County, TX",2,2516,79.49
"Coke County, TX",2,3321,60.22
"Coleman County, TX",11,7735,142.21
"Collin County, TX",3812,1109462,343.59
"Collingsworth County, TX",1,2615,38.24
"Colorado County, TX",26,20630,126.03
"Comal County, TX",415,174986,237.16
"Comanche County, TX",11,13775,79.85
"Concho County, TX",1,3341,29.93
"Cooke County, TX",33,42244,78.12
"Coryell County, TX",33,84232,39.18
"Cottle County, TX",0,1381,0
"Crane County, TX",3,4680,64.1
"Crockett County, TX",1,3068,32.59
"Crosby County, TX",3,5106,58.75
"Culberson County, TX",1,2193,45.6
"Dallam County, TX",5,7172,69.72
"Dallas County, TX",10945,2586050,423.23
"Dawson County, TX",6,12413,48.34
"Deaf Smith County, TX",2,18329,10.91
"Delta County, TX",1,5392,18.55
"Denton County, TX",1702,941647,180.75
"DeWitt County, TX",11,19918,55.23
"Dickens County, TX",1,1740,57.47
"Dimmit County, TX",9,8473,106.22
"Donley County, TX",3,3268,91.8
"Duval County, TX",1,9756,10.25
"Eastland County, TX",4,17864,22.39
"Ector County, TX",330,161091,204.85
"Edwards County, TX",2,1438,139.08
"El Paso County, TX",2139,867947,246.44
"Ellis County, TX",193,202678,95.22
"Erath County, TX",55,43378,126.79
"Falls County, TX",6,17313,34.66
"Fannin County, TX",14,36569,38.28
"Fayette County, TX",30,24687,121.52
"Fisher County, TX",1,3706,26.98
"Floyd County, TX",3,5350,56.07
"Foard County, TX",0,1080,0
"Fort Bend County, TX",2633,858527,306.69
"Franklin County, TX",5,10464,47.78
"Freestone County, TX",4,19774,20.23
"Frio County, TX",7,18436,37.97
"Gaines County, TX",6,21895,27.4
"Galveston County, TX",1925,355062,542.16
"Garza County, TX",1,5863,17.06
"Gillespie County, TX",121,27297,443.27
"Glasscock County, TX",0,1149,0
"Goliad County, TX",5,7163,69.8
"Gonzales County, TX",16,19641,81.46
"Gray County, TX",15,21030,71.33
"Grayson County, TX",254,139336,182.29
"Gregg County, TX",406,124201,326.89
"Grimes County, TX",17,30287,56.13
"Guadalupe County, TX",171,177036,96.59
"Hale County, TX",19,32220,58.97
"Hall County, TX",0,2845,0
"Hamilton County, TX",19,8229,230.89
"Hansford County, TX",3,5159,58.15
"Hardeman County, TX",5,3552,140.77
"Hardin County, TX",22,56973,38.61
"Harris County, TX",18838,4728030,398.43
"Harrison County, TX",57,69150,82.43
"Hartley County, TX",0,5397,0
"Haskell County, TX",3,5411,55.44
"Hays County, TX",365,255397,142.91
"Hemphill County, TX",6,3271,183.43
"Henderson County, TX",88,83667,105.18
"Hidalgo County, TX",1279,880356,145.28
"Hill County, TX",22,36471,60.32
"Hockley County, TX",17,21363,79.58
"Hood County, TX",87,64222,135.47
"Hopkins County, TX",38,37211,102.12
"Houston County, TX",13,22241,58.45
"Howard County, TX",44,34128,128.93
"Hudspeth County, TX",1,3287,30.42
"Hunt County, TX",67,103394,64.8
"Hutchinson County, TX",13,20495,63.43
"Irion County, TX",0,1552,0
"Jack County, TX",4,8712,45.91
"Jackson County, TX",9,15121,59.52
"Jasper County, TX",22,32975,66.72
"Jeff Davis County, TX",2,1949,102.62
"Jefferson County, TX",561,253704,221.12
"Jim Hogg County, TX",2,4801,41.66
"Jim Wells County, TX",35,38847,90.1
"Johnson County, TX",195,187280,104.12
"Jones County, TX",5,19873,25.16
"Karnes County, TX",5,14754,33.89
"Kaufman County, TX",85,157768,53.88
"Kendall County, TX",229,46788,489.44
"Kenedy County, TX",0,340,0
"Kent County, TX",0,749,0
"Kerr County, TX",192,53161,361.17
"Kimble County, TX",6,4365,137.46
"King County, TX",0,258,0
"Kinney County, TX",1,3130,31.95
"Kleberg County, TX",24,30635,78.34
"Knox County, TX",2,3351,59.68
"La Salle County, TX",0,6670,0
"Lamar County, TX",128,50098,255.5
"Lamb County, TX",4,12898,31.01
"Lampasas County, TX",22,22252,98.87
"Lavaca County, TX",22,20544,107.09
"Lee County, TX",6,17706,33.89
"Leon County, TX",5,15959,31.33
"Liberty County, TX",47,97621,48.15
"Limestone County, TX",7,22119,31.65
"Lipscomb County, TX",0,2931,0
"Live Oak County, TX",1,11377,8.79
"Llano County, TX",37,21978,168.35
"Loving County, TX",0,57,0
"Lubbock County, TX",1428,314451,454.12
"Lynn County, TX",8,5688,140.65
"Madison County, TX",3,13718,21.87
"Marion County, TX",4,9645,41.47
"Martin County, TX",1,5211,19.19
"Mason County, TX",4,3943,101.45
"Matagorda County, TX",36,36344,99.05
"Maverick County, TX",45,58056,77.51
"McCulloch County, TX",2,7533,26.55
"McLennan County, TX",663,263115,251.98
"McMullen County, TX",1,608,164.47
"Medina County, TX",37,51981,71.18
"Menard County, TX",0,1982,0
"Midland County, TX",312,167969,185.75
"Milam County, TX",11,25106,43.81
"Mills County, TX",3,4480,66.96
"Mitchell County, TX",4,9070,44.1
"Montague County, TX",12,20409,58.8
"Montgomery County, TX",1480,648886,228.08
"Moore County, TX",15,21118,71.03
"Morris County, TX",2,12030,16.63
"Motley County, TX",0,1067,0
"Nacogdoches County, TX",156,64668,241.23
"Navarro County, TX",58,53591,108.23
"Newton County, TX",5,12241,40.85
"Nolan County, TX",11,14597,75.36
"Nueces County, TX",1056,353079,299.08
"Ochiltree County, TX",5,9782,51.11
"Oldham County, TX",1,1717,58.24
"Orange County, TX",35,84742,41.3
"Palo Pinto County, TX",26,28686,90.64
"Panola County, TX",13,22675,57.33
"Parker County, TX",170,156764,108.44
"Parmer County, TX",2,9813,20.38
"Pecos County, TX",12,15118,79.38
"Polk County, TX",86,51899,165.71
"Potter County, TX",493,116547,423.01
"Presidio County, TX",3,6140,48.86
"Rains County, TX",4,12509,31.98
"Randall County, TX",315,143854,218.97
"Reagan County, TX",3,3253,92.22
"Real County, TX",2,2826,70.77
"Red River County, TX",7,11555,60.58
"Reeves County, TX",9,14487,62.12
"Refugio County, TX",1,6756,14.8
"Roberts County, TX",0,797,0
"Robertson County, TX",3,16958,17.69
"Rockwall County, TX",218,116381,187.32
"Runnels County, TX",10,9943,100.57
"Rusk County, TX",36,52743,68.26
"Sabine County, TX",6,10039,59.77
"San Augustine County, TX",2,7922,25.25
"San Jacinto County, TX",8,27878,28.7
"San Patricio County, TX",34,69699,48.78
"San Saba County, TX",4,5827,68.65
"Schleicher County, TX",2,2429,82.34
"Scurry County, TX",14,16824,83.21
"Shackelford County, TX",2,3212,62.27
"Shelby County, TX",10,23939,41.77
"Sherman County, TX",0,2798,0
"Smith County, TX",982,237186,414.02
"Somervell County, TX",8,9469,84.49
"Starr County, TX",32,66049,48.45
"Stephens County, TX",3,9173,32.7
"Sterling County, TX",0,1381,0
"Stonewall County, TX",3,1217,246.51
"Sutton County, TX",4,3319,120.52
"Swisher County, TX",1,7008,14.27
"Tarrant County, TX",4865,2126477,228.78
"Taylor County, TX",362,143326,252.57
"Terrell County, TX",0,724,0
"Terry County, TX",7,11754,59.55
"Throckmorton County, TX",1,1495,66.89
"Titus County, TX",50,31183,160.34
"Tom Green County, TX",316,119411,264.63
"Travis County, TX",5067,1305154,388.23
"Trinity County, TX",2,13827,14.46
"Tyler County, TX",9,20077,44.83
"Upshur County, TX",19,41774,45.48
"Upton County, TX",1,3265,30.63
"Uvalde County, TX",30,24729,121.32
"Val Verde County, TX",38,47564,79.89
"Van Zandt County, TX",19,61275,31.01
"Victoria County, TX",243,90964,267.14
"Walker County, TX",71,77977,91.05
"Waller County, TX",17,59781,28.44
"Ward County, TX",2,11194,17.87
"Washington County, TX",77,35891,214.54
"Webb County, TX",297,267945,110.84
"Wharton County, TX",53,41721,127.03
"Wheeler County, TX",1,4927,20.3
"Wichita County, TX",342,130069,262.94
"Wilbarger County, TX",18,12731,141.39
"Willacy County, TX",11,20316,54.14
"Williamson County, TX",1493,643026,232.18
"Wilson County, TX",38,51257,74.14
"Winkler County, TX",3,7415,40.46
"Wise County, TX",58,71714,80.88
"Wood County, TX",26,45875,56.68
"Yoakum County, TX",6,7607,78.87
"Young County, TX",23,17977,127.94
"Zapata County, TX",1,13908,7.19
"Zavala County, TX",3,9534,31.47
"Beaver County, UT",9,7249,124.16
"Box Elder County, UT",37,59688,61.99
"Cache County, UT",213,137417,155
"Carbon County, UT",22,20372,107.99
"Daggett County, UT",0,976,0
"Davis County, UT",649,367285,176.7
"Duchesne County, UT",25,19790,126.33
"Emery County, UT",1,9967,10.03
"Garfield County, UT",1,5129,19.5
"Grand County, UT",30,9663,310.46
"Iron County, UT",54,60519,89.23
"Juab County, UT",10,12155,82.27
"Kane County, UT",4,7992,50.05
"Millard County, UT",10,13164,75.96
"Morgan County, UT",40,12657,316.03
"Piute County, UT",1,1487,67.25
"Rich County, UT",1,2597,38.51
"Salt Lake County, UT",5572,1186421,469.65
"San Juan County, UT",11,14489,75.92
"Sanpete County, UT",25,29106,85.89
"Sevier County, UT",17,21906,77.6
"Summit County, UT",321,43093,744.9
"Tooele County, UT",27,76640,35.23
"Uintah County, UT",24,36204,66.29
"Utah County, UT",983,684986,143.51
"Wasatch County, UT",73,36173,201.81
"Washington County, UT",443,191226,231.66
"Wayne County, UT",2,2558,78.19
"Weber County, UT",449,267066,168.12
"Addison County, VT",123,37260,330.11
"Bennington County, VT",162,37312,434.18
"Caledonia County, VT",69,30403,226.95
"Chittenden County, VT",1782,168865,1055.28
"Essex County, VT",4,5925,67.51
"Franklin County, VT",86,50325,170.89
"Grand Isle County, VT",30,7421,404.26
"Lamoille County, VT",90,26126,344.48
"Orange County, VT",76,29541,257.27
"Orleans County, VT",71,27546,257.75
"Rutland County, VT",205,60591,338.33
"Washington County, VT",211,59969,351.85
"Windham County, VT",155,46090,336.3
"Windsor County, VT",332,58196,570.49
"Accomack County, VA",36,33246,108.28
"Albemarle County, VA",968,113535,852.6
"Alexandria City, VA",587,154706,379.43
"Alleghany County, VA",16,14986,106.77
"Amelia County, VA",6,13268,45.22
"Amherst County, VA",14,31273,44.77
"Appomattox County, VA",3,16353,18.35
"Arlington County, VA",1096,232965,470.46
"Augusta County, VA",149,77563,192.1
"Bath County, VA",3,4114,72.92
"Bedford County, VA",139,80131,173.47
"Bland County, VA",1,6173,16.2
"Botetourt County, VA",53,33866,156.5
"Bristol City, VA",21,17054,123.14
"Brunswick County, VA",7,15940,43.91
"Buchanan County, VA",16,19816,80.74
"Buckingham County, VA",5,16947,29.5
"Buena Vista City, VA",5,6601,75.75
"Campbell County, VA",14,55492,25.23
"Caroline County, VA",7,31332,22.34
"Carroll County, VA",60,29048,206.55
"Charles City County, VA",3,6594,45.5
"Charlotte County, VA",7,11448,61.15
"Charlottesville City, VA",1803,45672,3947.71
"Chesapeake City, VA",660,251269,262.67
"Chesterfield County, VA",1235,370688,333.16
"Clarke County, VA",31,14881,208.32
"Colonial Heights City, VA",64,18273,350.24
"Covington City, VA",11,5717,192.41
"Craig County, VA",3,4865,61.67
"Culpeper County, VA",74,53596,138.07
"Cumberland County, VA",3,9681,30.99
"Danville City, VA",146,42215,345.85
"Dickenson County, VA",7,13787,50.77
"Dinwiddie County, VA",7,27912,25.08
"Emporia City, VA",0,5667,0
"Essex County, VA",19,10573,179.7
"Fairfax City, VA",2,24276,8.24
"Fairfax County, VA",6049,1139720,530.74
"Falls Church City, VA",184,14493,1269.58
"Fauquier County, VA",134,73815,181.53
"Floyd County, VA",15,15566,96.36
"Fluvanna County, VA",38,27723,137.07
"Franklin City, VA",20,8217,243.4
"Franklin County, VA",67,54938,121.96
"Frederick County, VA",154,93717,164.32
"Fredericksburg City, VA",242,28367,853.1
"Galax City, VA",0,6660,0
"Giles County, VA",16,16562,96.61
"Gloucester County, VA",67,39069,171.49
"Goochland County, VA",91,25488,357.03
"Grayson County, VA",5,15359,32.55
"Greene County, VA",17,20968,81.08
"Greensville County, VA",16,11437,139.9
"Halifax County, VA",65,33738,192.66
"Hampton City, VA",251,137746,182.22
"Hanover County, VA",254,111603,227.59
"Harrisonburg City, VA",272,51430,528.87
"Henrico County, VA",1778,333554,533.05
"Henry County, VA",69,50248,137.32
"Highland County, VA",3,2226,134.77
"Hopewell City, VA",25,23140,108.04
"Isle of Wight County, VA",50,39278,127.3
"James City County, VA",490,79882,613.4
"King and Queen County, VA",7,6662,105.07
"King George County, VA",11,27489,40.02
"King William County, VA",9,18171,49.53
"Lancaster County, VA",33,10928,301.98
"Lee County, VA",12,21983,54.59
"Lexington City, VA",0,7456,0
"Loudoun County, VA",1114,427592,260.53
"Louisa County, VA",17,38848,43.76
"Lunenburg County, VA",5,11926,41.93
"Lynchburg City, VA",497,79009,629.04
"Madison County, VA",11,13942,78.9
"Manassas City, VA",135,42708,316.1
"Manassas Park City, VA",0,17002,0
"Martinsville City, VA",10,13517,73.98
"Mathews County, VA",25,8546,292.53
"Mecklenburg County, VA",58,30248,191.75
"Middlesex County, VA",12,10781,111.31
"Montgomery County, VA",216,98473,219.35
"Nelson County, VA",49,14790,331.3
"New Kent County, VA",21,23897,87.88
"Newport News City, VA",448,184587,242.7
"Norfolk City, VA",1552,235089,660.18
"Northampton County, VA",42,12085,347.54
"Northumberland County, VA",52,12029,432.29
"Norton City, VA",32,3666,872.89
"Nottoway County, VA",17,15594,109.02
"Orange County, VA",42,37188,112.94
"Page County, VA",11,23807,46.2
"Patrick County, VA",10,17602,56.81
"Petersburg City, VA",77,33429,230.34
"Pittsylvania County, VA",11,59972,18.34
"Poquoson City, VA",47,12574,373.79
"Portsmouth City, VA",353,97840,360.79
"Powhatan County, VA",37,31136,118.83
"Prince Edward County, VA",53,21932,241.66
"Prince George County, VA",21,42880,48.97
"Prince William County, VA",644,484472,132.93
"Pulaski County, VA",40,33759,118.49
"Radford City, VA",34,16499,206.07
"Rappahannock County, VA",13,7407,175.51
"Richmond City, VA",2068,226604,912.61
"Richmond County, VA",7,9017,77.63
"Roanoke City, VA",747,98865,755.58
"Roanoke County, VA",557,96589,576.67
"Rockbridge County, VA",71,22641,313.59
"Rockingham County, VA",77,84394,91.24
"Russell County, VA",16,25550,62.62
"Salem City, VA",218,25373,859.18
"Scott County, VA",13,21419,60.69
"Shenandoah County, VA",44,44752,98.32
"Smyth County, VA",52,29477,176.41
"Southampton County, VA",9,18006,49.98
"Spotsylvania County, VA",245,143676,170.52
"Stafford County, VA",162,160877,100.7
"Staunton City, VA",78,25661,303.96
"Suffolk City, VA",299,96194,310.83
"Surry County, VA",4,6530,61.26
"Sussex County, VA",4,10763,37.16
"Tazewell County, VA",96,39925,240.45
"Virginia Beach City, VA",1566,457672,342.17
"Warren County, VA",58,40925,141.72
"Washington County, VA",151,53635,281.53
"Waynesboro City, VA",66,22550,292.68
"Westmoreland County, VA",9,18731,48.05
"Williamsburg City, VA",5,15590,32.07
"Winchester City, VA",298,28136,1059.14
"Wise County, VA",50,35647,140.26
"Wythe County, VA",46,28178,163.25
"York County, VA",258,70915,363.82
"Adams County, WA",11,20621,53.34
"Asotin County, WA",78,22397,348.26
"Benton County, WA",494,210025,235.21
"Chelan County, WA",381,79646,478.37
"Clallam County, WA",261,78209,333.72
"Clark County, WA",1219,511404,238.36
"Columbia County, WA",4,4042,98.96
"Cowlitz County, WA",197,111524,176.64
"Douglas County, WA",38,43696,86.96
"Ferry County, WA",8,7273,110
"Franklin County, WA",79,98268,80.39
"Garfield County, WA",3,2346,127.88
"Grant County, WA",81,100297,80.76
"Grays Harbor County, WA",79,76841,102.81
"Island County, WA",204,87432,233.32
"Jefferson County, WA",113,33605,336.26
"King County, WA",13937,2252305,618.79
"Kitsap County, WA",834,274314,304.03
"Kittitas County, WA",63,45499,138.46
"Klickitat County, WA",45,23118,194.65
"Lewis County, WA",114,84398,135.07
"Lincoln County, WA",4,11232,35.61
"Mason County, WA",66,67615,97.61
"Okanogan County, WA",74,42634,173.57
"Pacific County, WA",9,23948,37.58
"Pend Oreille County, WA",14,13886,100.82
"Pierce County, WA",2870,925708,310.03
"San Juan County, WA",73,18557,393.38
"Skagit County, WA",414,130696,316.77
"Skamania County, WA",6,12170,49.3
"Snohomish County, WA",1554,833540,186.43
"Spokane County, WA",1974,546040,361.51
"Stevens County, WA",51,47426,107.54
"Thurston County, WA",956,297977,320.83
"Wahkiakum County, WA",3,4582,65.47
"Walla Walla County, WA",260,62682,414.79
"Whatcom County, WA",813,228831,355.28
"Whitman County, WA",68,47873,142.04
"Yakima County, WA",496,256035,193.72
"Barbour County, WV",10,15468,64.65
"Berkeley County, WV",195,126069,154.68
"Boone County, WV",11,21312,51.61
"Braxton County, WV",8,12247,65.32
"Brooke County, WV",8,22140,36.13
"Cabell County, WV",844,93418,903.47
"Calhoun County, WV",4,6176,64.77
"Clay County, WV",3,7892,38.01
"Doddridge County, WV",1,7735,12.93
"Fayette County, WV",33,39927,82.65
"Gilmer County, WV",3,7377,40.67
"Grant County, WV",11,10983,100.15
"Greenbrier County, WV",83,32608,254.54
"Hampshire County, WV",14,23302,60.08
"Hancock County, WV",55,28656,191.93
"Hardy County, WV",5,14160,35.31
"Harrison County, WV",218,65158,334.57
"Jackson County, WV",16,27738,57.68
"Jefferson County, WV",131,58370,224.43
"Kanawha County, WV",955,177952,536.66
"Lewis County, WV",19,16892,112.48
"Lincoln County, WV",11,20126,54.66
"Logan County, WV",44,31909,137.89
"Marion County, WV",91,56001,162.5
"Marshall County, WV",27,30115,89.66
"Mason County, WV",26,25157,103.35
"McDowell County, WV",12,18363,65.35
"Mercer County, WV",124,59097,209.82
"Mineral County, WV",24,26857,89.36
"Mingo County, WV",19,23005,82.59
"Monongalia County, WV",1507,106387,1416.53
"Monroe County, WV",2,12332,16.22
"Morgan County, WV",16,17221,92.91
"Nicholas County, WV",37,24300,152.26
"Ohio County, WV",226,41776,540.98
"Pendleton County, WV",5,6142,81.41
"Pleasants County, WV",0,7601,0
