county,number_of_md,population_by_cty,"md_rate_per_100,000"
"Barrow County, GA",64,86658,73.85
"Bartow County, GA",123,110843,110.97
"Ben Hill County, GA",12,17158,69.94
"Berrien County, GA",7,18147,38.57
"Bibb County, GA",1011,156762,644.93
"Bleckley County, GA",10,12607,79.32
"Brantley County, GA",2,18101,11.05
"Brooks County, GA",6,16270,36.88
"Bryan County, GA",72,46938,153.39
"Bulloch County, GA",141,82442,171.03
"Burke County, GA",15,24310,61.7
"Butts County, GA",12,25781,46.55
"Calhoun County, GA",3,5509,54.46
"Camden County, GA",51,55664,91.62
"Candler County, GA",5,11037,45.3
"Carroll County, GA",219,121968,179.56
"Catoosa County, GA",83,68397,121.35
"Charlton County, GA",4,12766,31.33
"Chatham County, GA",1341,296329,452.54
"Chattahoochee County, GA",35,9048,386.83
"Chattooga County, GA",6,24932,24.07
"Cherokee County, GA",318,274615,115.8
"Clarke County, GA",510,128711,396.24
"Clay County, GA",2,2882,69.4
"Clayton County, GA",293,297100,98.62
"Clinch County, GA",3,6725,44.61
"Cobb County, GA",2382,766802,310.64
"Coffee County, GA",64,43386,147.51
"Colquitt County, GA",69,45812,150.62
"Columbia County, GA",839,159639,525.56
"Cook County, GA",12,17225,69.67
"Coweta County, GA",226,149956,150.71
"Crawford County, GA",4,12153,32.91
"Crisp County, GA",37,19879,186.13
"Dade County, GA",10,16326,61.25
"Dawson County, GA",34,28497,119.31
"Decatur County, GA",31,29038,106.76
"DeKalb County, GA",5470,757718,721.9
"Dodge County, GA",27,19759,136.65
"Dooly County, GA",7,10885,64.31
"Dougherty County, GA",295,84844,347.7
"Douglas County, GA",167,145814,114.53
"Early County, GA",7,10619,65.92
"Echols County, GA",0,3699,0
"Effingham County, GA",29,66741,43.45
"Elbert County, GA",15,19579,76.61
"Emanuel County, GA",15,22716,66.03
"Evans County, GA",9,10672,84.33
"Fannin County, GA",38,25817,147.19
"Fayette County, GA",445,120574,369.07
"Floyd County, GA",425,98771,430.29
"Forsyth County, GA",306,260206,117.6
"Franklin County, GA",21,23785,88.29
"Fulton County, GA",6840,1065334,642.05
"Gilmer County, GA",39,32026,121.78
"Glascock County, GA",4,2919,137.03
"Glynn County, GA",292,84739,344.59
"Gordon County, GA",71,58237,121.92
"Grady County, GA",22,25918,84.88
"Greene County, GA",51,19536,261.06
"Gwinnett County, GA",2053,964546,212.85
"Habersham County, GA",52,46774,111.17
"Hall County, GA",559,207369,269.57
"Hancock County, GA",2,8630,23.18
"Haralson County, GA",18,30572,58.88
"Harris County, GA",55,35626,154.38
"Hart County, GA",23,26409,87.09
"Heard County, GA",5,11565,43.23
"Henry County, GA",393,245235,160.25
"Houston County, GA",256,166829,153.45
"Irwin County, GA",5,9618,51.99
"Jackson County, GA",151,80286,188.08
"Jasper County, GA",13,15278,85.09
"Jeff Davis County, GA",3,14872,20.17
"Jefferson County, GA",11,15524,70.86
"Jenkins County, GA",4,8639,46.3
"Johnson County, GA",6,9160,65.5
"Jones County, GA",12,28400,42.25
"Lamar County, GA",10,19080,52.41
"Lanier County, GA",2,9907,20.19
"Laurens County, GA",146,49547,294.67
"Lee County, GA",42,33411,125.71
"Liberty County, GA",63,65711,95.87
"Lincoln County, GA",2,7749,25.81
"Long County, GA",2,17152,11.66
"Lowndes County, GA",253,119276,212.11
"Lumpkin County, GA",27,34278,78.77
"Macon County, GA",3,12004,24.99
"Madison County, GA",9,30885,29.14
"Marion County, GA",4,7440,53.76
"McDuffie County, GA",18,21633,83.21
"McIntosh County, GA",1,11123,8.99
"Meriwether County, GA",14,20793,67.33
"Miller County, GA",7,5919,118.26
"Mitchell County, GA",16,21521,74.35
"Monroe County, GA",34,28712,118.42
"Montgomery County, GA",1,8653,11.56
"Morgan County, GA",31,20635,150.23
"Murray County, GA",12,39951,30.04
"Muscogee County, GA",696,205617,338.49
"Newton County, GA",77,115355,66.75
"Oconee County, GA",207,43023,481.14
"Oglethorpe County, GA",3,15140,19.82
"Paulding County, GA",63,173780,36.25
"Peach County, GA",11,28417,38.71
"Pickens County, GA",57,34024,167.53
"Pierce County, GA",15,19976,75.09
"Pike County, GA",6,19477,30.81
"Polk County, GA",21,43496,48.28
"Pulaski County, GA",14,9917,141.17
"Putnam County, GA",19,22585,84.13
"Quitman County, GA",0,2243,0
"Rabun County, GA",36,17119,210.29
"Randolph County, GA",2,6287,31.81
"Richmond County, GA",1451,205673,705.49
"Rockdale County, GA",150,94082,159.44
"Schley County, GA",1,4478,22.33
"Screven County, GA",5,14105,35.45
"Seminole County, GA",12,9197,130.48
"Spalding County, GA",96,67909,141.37
"Stephens County, GA",41,26865,152.61
"Stewart County, GA",2,5341,37.45
"Sumter County, GA",47,29283,160.5
"Talbot County, GA",0,5742,0
"Taliaferro County, GA",0,1558,0
"Tattnall County, GA",10,23052,43.38
"Taylor County, GA",3,7799,38.47
"Telfair County, GA",4,12414,32.22
"Terrell County, GA",3,8964,33.47
"Thomas County, GA",193,45842,421.01
"Tift County, GA",121,41212,293.6
"Toombs County, GA",69,26911,256.4
"Towns County, GA",20,12875,155.34
"Treutlen County, GA",1,6306,15.86
"Troup County, GA",147,69720,210.84
"Turner County, GA",5,8966,55.77
"Twiggs County, GA",2,7856,25.46
"Union County, GA",51,25521,199.84
"Upson County, GA",46,27720,165.95
"Walker County, GA",33,68510,48.17
"Walton County, GA",54,99853,54.08
"Ware County, GA",101,36033,280.3
"Warren County, GA",3,5240,57.25
"Washington County, GA",20,19785,101.09
"Wayne County, GA",33,30380,108.62
"Webster County, GA",4,2367,168.99
"Wheeler County, GA",2,7471,26.77
"White County, GA",19,28442,66.8
"Whitfield County, GA",233,102848,226.55
"Wilcox County, GA",0,8739,0
"Wilkes County, GA",10,9513,105.12
"Wilkinson County, GA",4,8831,45.3
"Worth County, GA",12,20554,58.38
"Hawaii County, HI",529,202906,260.71
"Honolulu County, HI",4564,1000890,455.99
"Kalawao County, HI",0,82,0
"Kauai County, HI",219,73454,298.15
"Maui County, HI",518,164221,315.43
"Ada County, ID",1823,511931,356.1
"Adams County, ID",8,4625,172.97
"Bannock County, ID",205,88263,232.26
"Bear Lake County, ID",11,6545,168.07
"Benewah County, ID",11,9931,110.76
"Bingham County, ID",36,48876,73.66
"Blaine County, ID",135,24766,545.1
"Boise County, ID",2,8094,24.71
"Bonner County, ID",107,49491,216.2
"Bonneville County, ID",264,127930,206.36
"Boundary County, ID",12,12561,95.53
"Butte County, ID",0,2654,0
"Camas County, ID",0,1139,0
"Canyon County, ID",226,243115,92.96
"Caribou County, ID",7,7111,98.44
"Cassia County, ID",29,25164,115.24
"Clark County, ID",0,792,0
"Clearwater County, ID",22,8895,247.33
"Custer County, ID",0,4428,0
"Elmore County, ID",35,28827,121.41
"Franklin County, ID",9,14666,61.37
"Fremont County, ID",13,13592,95.64
"Gem County, ID",16,19792,80.84
"Gooding County, ID",8,15772,50.72
"Idaho County, ID",23,17040,134.98
"Jefferson County, ID",10,32202,31.05
"Jerome County, ID",12,24662,48.66
"Kootenai County, ID",491,179789,273.1
"Latah County, ID",76,40313,188.52
"Lemhi County, ID",9,8162,110.27
"Lewis County, ID",1,3715,26.92
"Lincoln County, ID",2,5282,37.86
"Madison County, ID",42,53881,77.95
"Minidoka County, ID",11,21955,50.1
"Nez Perce County, ID",101,42454,237.9
"Oneida County, ID",0,4611,0
"Owyhee County, ID",1,12336,8.11
"Payette County, ID",18,26350,68.31
"Power County, ID",1,7950,12.58
"Shoshone County, ID",9,13612,66.12
"Teton County, ID",25,12267,203.8
"Twin Falls County, ID",187,92243,202.73
"Valley County, ID",38,12241,310.43
"Washington County, ID",5,10898,45.88
"Adams County, IL",210,64954,323.31
"Alexander County, IL",3,5030,59.64
"Bond County, IL",22,16596,132.56
"Boone County, IL",96,53159,180.59
"Brown County, IL",5,6421,77.87
"Bureau County, IL",52,32883,158.14
"Calhoun County, IL",4,4369,91.55
"Carroll County, IL",8,15698,50.96
"Cass County, IL",2,12773,15.66
"Champaign County, IL",891,205943,432.64
"Christian County, IL",27,33662,80.21
"Clark County, IL",8,15300,52.29
"Clay County, IL",6,13143,45.65
"Clinton County, IL",27,36793,73.38
"Coles County, IL",108,46765,230.94
"Cook County, IL",27021,5173146,522.33
"Crawford County, IL",22,18659,117.91
"Cumberland County, IL",2,10345,19.33
"De Witt County, IL",10,15341,65.18
"DeKalb County, IL",109,100414,108.55
"Douglas County, IL",13,19722,65.92
"DuPage County, IL",5611,924885,606.67
"Edgar County, IL",19,16520,115.01
"Edwards County, IL",1,6075,16.46
"Effingham County, IL",93,34430,270.11
"Fayette County, IL",9,21384,42.09
"Ford County, IL",17,13511,125.82
"Franklin County, IL",24,37442,64.1
"Fulton County, IL",25,33197,75.31
"Gallatin County, IL",2,4903,40.79
"Greene County, IL",4,11843,33.78
"Grundy County, IL",60,52989,113.23
"Hamilton County, IL",6,7911,75.84
"Hancock County, IL",10,17400,57.47
"Hardin County, IL",5,3650,136.99
"Henderson County, IL",3,6312,47.53
"Henry County, IL",25,48907,51.12
"Iroquois County, IL",24,26827,89.46
"Jackson County, IL",242,52565,460.38
"Jasper County, IL",1,9193,10.88
"Jefferson County, IL",102,36877,276.6
"Jersey County, IL",21,21333,98.44
"Jo Daviess County, IL",25,21939,113.95
"Johnson County, IL",5,13463,37.14
"Kane County, IL",869,515588,168.55
"Kankakee County, IL",171,106601,160.41
"Kendall County, IL",75,134867,55.61
"Knox County, IL",96,49268,194.85
"La Salle County, IL",123,108965,112.88
"Lake County, IL",3251,711239,457.09
"Lawrence County, IL",11,15152,72.6
"Lee County, IL",66,34049,193.84
"Livingston County, IL",29,35664,81.31
"Logan County, IL",18,27992,64.3
"Macon County, IL",295,102432,288
"Macoupin County, IL",20,44406,45.04
"Madison County, IL",399,264490,150.86
"Marion County, IL",61,37390,163.15
"Marshall County, IL",2,11663,17.15
"Mason County, IL",12,12881,93.16
"Massac County, IL",10,13960,71.63
"McDonough County, IL",43,26828,160.28
"McHenry County, IL",446,311122,143.35
"McLean County, IL",406,170889,237.58
"Menard County, IL",12,12164,98.65
"Mercer County, IL",6,15582,38.51
"Monroe County, IL",30,34932,85.88
"Montgomery County, IL",26,28084,92.58
"Morgan County, IL",45,32606,138.01
"Moultrie County, IL",5,14510,34.46
"Ogle County, IL",38,51449,73.86
"Peoria County, IL",1188,179432,662.09
"Perry County, IL",24,20985,114.37
"Piatt County, IL",9,16753,53.72
"Pike County, IL",16,14618,109.45
"Pope County, IL",6,3779,158.77
"Pulaski County, IL",0,5065,0
"Putnam County, IL",1,5566,17.97
"Randolph County, IL",35,30142,116.12
"Richland County, IL",30,15796,189.92
"Rock Island County, IL",283,142909,198.03
"Saline County, IL",41,23320,175.81
"Sangamon County, IL",1430,194734,734.34
"Schuyler County, IL",0,6843,0
"Scott County, IL",0,4836,0
"Shelby County, IL",8,20789,38.48
"St. Clair County, IL",539,254796,211.54
"Stark County, IL",1,5294,18.89
"Stephenson County, IL",74,44021,168.1
"Tazewell County, IL",207,130413,158.73
"Union County, IL",29,16923,171.36
"Vermilion County, IL",119,73095,162.8
"Wabash County, IL",11,11202,98.2
"Warren County, IL",13,16531,78.64
"Washington County, IL",6,13655,43.94
"Wayne County, IL",13,15963,81.44
"White County, IL",5,13784,36.27
"Whiteside County, IL",76,55305,137.42
"Will County, IL",1109,697252,159.05
"Williamson County, IL",202,66879,302.04
"Winnebago County, IL",878,283119,310.12
"Woodford County, IL",42,38225,109.88
"Adams County, IN",25,35961,69.52
"Allen County, IN",1255,388608,322.95
"Bartholomew County, IN",234,82475,283.72
"Benton County, IN",2,8714,22.95
"Blackford County, IN",9,12091,74.44
"Boone County, IN",693,73052,948.64
"Brown County, IN",16,15552,102.88
"Carroll County, IN",5,20444,24.46
"Cass County, IN",48,37563,127.79
"Clark County, IN",190,122738,154.8
"Clay County, IN",17,26410,64.37
"Clinton County, IN",18,33065,54.44
"Crawford County, IN",1,10514,9.51
"Daviess County, IN",26,33397,77.85
"De Kalb County, IN",38,43333,87.69
"Dearborn County, IN",61,50816,120.04
"Decatur County, IN",26,26320,98.78
"Delaware County, IN",368,111871,328.95
"Dubois County, IN",107,43549,245.7
