county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Daviess County, MO",Daviess,MO,2,8399,23.81
"DeKalb County, MO",DeKalb,MO,1,11098,9.01
"Dent County, MO",Dent,MO,7,14432,48.5
"Douglas County, MO",Douglas,MO,3,11732,25.57
"Dunklin County, MO",Dunklin,MO,12,27717,43.29
"Franklin County, MO",Franklin,MO,145,105231,137.79
"Gasconade County, MO",Gasconade,MO,12,14791,81.13
"Gentry County, MO",Gentry,MO,2,6173,32.4
"Greene County, MO",Greene,MO,988,300865,328.39
"Grundy County, MO",Grundy,MO,7,9720,72.02
"Harrison County, MO",Harrison,MO,2,8164,24.5
"Henry County, MO",Henry,MO,25,22206,112.58
"Hickory County, MO",Hickory,MO,2,8607,23.24
"Holt County, MO",Holt,MO,1,4226,23.66
"Howard County, MO",Howard,MO,7,10168,68.84
"Howell County, MO",Howell,MO,93,39975,232.65
"Iron County, MO",Iron,MO,2,9408,21.26
"Jackson County, MO",Jackson,MO,2660,716862,371.06
"Jasper County, MO",Jasper,MO,329,123155,267.14
"Jefferson County, MO",Jefferson,MO,131,227771,57.51
"Johnson County, MO",Johnson,MO,43,54150,79.41
"Knox County, MO",Knox,MO,1,3808,26.26
"Laclede County, MO",Laclede,MO,28,36133,77.49
"Lafayette County, MO",Lafayette,MO,9,32817,27.42
"Lawrence County, MO",Lawrence,MO,25,38321,65.24
"Lewis County, MO",Lewis,MO,2,10000,20
"Lincoln County, MO",Lincoln,MO,7,61586,11.37
"Linn County, MO",Linn,MO,8,11843,67.55
"Livingston County, MO",Livingston,MO,12,14755,81.33
"Macon County, MO",Macon,MO,5,15183,32.93
"Madison County, MO",Madison,MO,8,12652,63.23
"Maries County, MO",Maries,MO,2,8406,23.79
"Marion County, MO",Marion,MO,87,28518,305.07
"McDonald County, MO",McDonald,MO,1,23383,4.28
"Mercer County, MO",Mercer,MO,1,3488,28.67
"Miller County, MO",Miller,MO,11,24909,44.16
"Mississippi County, MO",Mississippi,MO,3,12538,23.93
"Moniteau County, MO",Moniteau,MO,4,15484,25.83
"Monroe County, MO",Monroe,MO,0,8712,0
"Montgomery County, MO",Montgomery,MO,4,11415,35.04
"Morgan County, MO",Morgan,MO,11,21379,51.45
"New Madrid County, MO",New Madrid,MO,3,16035,18.71
"Newton County, MO",Newton,MO,15,59386,25.26
"Nodaway County, MO",Nodaway,MO,16,21160,75.61
"Oregon County, MO",Oregon,MO,2,8631,23.17
"Osage County, MO",Osage,MO,1,13379,7.47
"Ozark County, MO",Ozark,MO,1,8782,11.39
"Pemiscot County, MO",Pemiscot,MO,14,15236,91.89
"Perry County, MO",Perry,MO,12,18922,63.42
"Pettis County, MO",Pettis,MO,52,43188,120.4
"Phelps County, MO",Phelps,MO,91,44937,202.51
"Pike County, MO",Pike,MO,12,17761,67.56
"Platte County, MO",Platte,MO,268,108569,246.85
"Polk County, MO",Polk,MO,45,32043,140.44
"Pulaski County, MO",Pulaski,MO,32,53816,59.46
"Putnam County, MO",Putnam,MO,3,4712,63.67
"Ralls County, MO",Ralls,MO,1,10361,9.65
"Randolph County, MO",Randolph,MO,10,24760,40.39
"Ray County, MO",Ray,MO,7,23008,30.42
"Reynolds County, MO",Reynolds,MO,1,6087,16.43
"Ripley County, MO",Ripley,MO,3,10617,28.26
"Saline County, MO",Saline,MO,19,23289,81.58
"Schuyler County, MO",Schuyler,MO,0,4025,0
"Scotland County, MO",Scotland,MO,5,4693,106.54
"Scott County, MO",Scott,MO,60,37840,158.56
"Shannon County, MO",Shannon,MO,1,7106,14.07
"Shelby County, MO",Shelby,MO,1,5976,16.73
"St. Charles County, MO",St. Charles,MO,498,409981,121.47
"St. Clair County, MO",St. Clair,MO,5,9376,53.33
"St. Francois County, MO",St. Francois,MO,85,67541,125.85
"St. Louis City, MO",St. Louis,MO,4091,293310,1394.77
"St. Louis County, MO",St. Louis,MO,6266,997187,628.37
"Ste. Genevieve County, MO",Ste. Genevieve,MO,21,18588,112.98
"Stoddard County, MO",Stoddard,MO,15,28479,52.67
"Stone County, MO",Stone,MO,10,31548,31.7
"Sullivan County, MO",Sullivan,MO,0,5934,0
"Taney County, MO",Taney,MO,98,56387,173.8
"Texas County, MO",Texas,MO,12,24987,48.03
"Vernon County, MO",Vernon,MO,29,19595,148
"Warren County, MO",Warren,MO,11,36518,30.12
"Washington County, MO",Washington,MO,8,23502,34.04
"Wayne County, MO",Wayne,MO,3,10914,27.49
"Webster County, MO",Webster,MO,42,39735,105.7
"Worth County, MO",Worth,MO,0,1983,0
"Wright County, MO",Wright,MO,8,18610,42.99
"Beaverhead County, MT",Beaverhead,MT,25,9524,262.49
"Big Horn County, MT",Big Horn,MT,16,12957,123.49
"Blaine County, MT",Blaine,MT,6,6980,85.96
"Broadwater County, MT",Broadwater,MT,5,7288,68.61
"Carbon County, MT",Carbon,MT,17,10847,156.73
"Carter County, MT",Carter,MT,0,1428,0
"Cascade County, MT",Cascade,MT,272,84511,321.85
"Chouteau County, MT",Chouteau,MT,0,5916,0
"Custer County, MT",Custer,MT,27,11916,226.59
"Daniels County, MT",Daniels,MT,0,1686,0
"Dawson County, MT",Dawson,MT,10,8904,112.31
"Deer Lodge County, MT",Deer Lodge,MT,30,9491,316.09
"Fallon County, MT",Fallon,MT,2,3017,66.29
"Fergus County, MT",Fergus,MT,24,11617,206.59
"Flathead County, MT",Flathead,MT,480,108454,442.58
"Gallatin County, MT",Gallatin,MT,440,122713,358.56
"Garfield County, MT",Garfield,MT,0,1209,0
"Glacier County, MT",Glacier,MT,18,13785,130.58
"Golden Valley County, MT",Golden Valley,MT,1,831,120.34
"Granite County, MT",Granite,MT,5,3344,149.52
"Hill County, MT",Hill,MT,24,16179,148.34
"Jefferson County, MT",Jefferson,MT,33,12470,264.64
"Judith Basin County, MT",Judith Basin,MT,2,2044,97.85
"Lake County, MT",Lake,MT,53,32033,165.45
"Lewis and Clark County, MT",Lewis and Clark,MT,234,72223,324
"Liberty County, MT",Liberty,MT,2,1946,102.77
"Lincoln County, MT",Lincoln,MT,29,20525,141.29
"Madison County, MT",Madison,MT,13,8917,145.79
"McCone County, MT",McCone,MT,0,1718,0
"Meagher County, MT",Meagher,MT,2,1964,101.83
"Mineral County, MT",Mineral,MT,6,4860,123.46
"Missoula County, MT",Missoula,MT,606,119533,506.97
"Musselshell County, MT",Musselshell,MT,3,4896,61.27
"Park County, MT",Park,MT,41,17473,234.65
"Petroleum County, MT",Petroleum,MT,0,519,0
"Phillips County, MT",Phillips,MT,1,4192,23.86
"Pondera County, MT",Pondera,MT,4,5994,66.73
"Powder River County, MT",Powder River,MT,0,1702,0
"Powell County, MT",Powell,MT,11,6999,157.17
"Prairie County, MT",Prairie,MT,1,1091,91.66
"Ravalli County, MT",Ravalli,MT,99,45959,215.41
"Richland County, MT",Richland,MT,19,11283,168.39
"Roosevelt County, MT",Roosevelt,MT,12,10821,110.9
"Rosebud County, MT",Rosebud,MT,8,8124,98.47
"Sanders County, MT",Sanders,MT,18,12959,138.9
"Sheridan County, MT",Sheridan,MT,3,3527,85.06
"Silver Bow County, MT",Silver Bow,MT,80,35411,225.92
"Stillwater County, MT",Stillwater,MT,9,9044,99.51
"Sweet Grass County, MT",Sweet Grass,MT,5,3723,134.3
"Teton County, MT",Teton,MT,4,6269,63.81
"Toole County, MT",Toole,MT,2,5011,39.91
"Treasure County, MT",Treasure,MT,1,768,130.21
"Valley County, MT",Valley,MT,15,7537,199.02
"Wheatland County, MT",Wheatland,MT,1,2059,48.57
"Wibaux County, MT",Wibaux,MT,0,934,0
"Yellowstone County, MT",Yellowstone,MT,768,167146,459.48
"Adams County, NE",Adams,NE,86,31027,277.18
"Antelope County, NE",Antelope,NE,4,6279,63.7
"Arthur County, NE",Arthur,NE,0,439,0
"Banner County, NE",Banner,NE,1,692,144.51
"Blaine County, NE",Blaine,NE,0,461,0
"Boone County, NE",Boone,NE,11,5386,204.23
"Box Butte County, NE",Box Butte,NE,9,10604,84.87
"Boyd County, NE",Boyd,NE,4,1789,223.59
"Brown County, NE",Brown,NE,1,2908,34.39
"Buffalo County, NE",Buffalo,NE,183,50339,363.54
"Burt County, NE",Burt,NE,3,6709,44.72
"Butler County, NE",Butler,NE,13,8444,153.96
"Cass County, NE",Cass,NE,20,27017,74.03
"Cedar County, NE",Cedar,NE,5,8330,60.02
"Chase County, NE",Chase,NE,4,3826,104.55
"Cherry County, NE",Cherry,NE,7,5458,128.25
"Cheyenne County, NE",Cheyenne,NE,16,9529,167.91
"Clay County, NE",Clay,NE,3,6078,49.36
"Colfax County, NE",Colfax,NE,3,10498,28.58
"Cuming County, NE",Cuming,NE,4,8984,44.52
"Custer County, NE",Custer,NE,8,10460,76.48
"Dakota County, NE",Dakota,NE,5,21241,23.54
"Dawes County, NE",Dawes,NE,10,8148,122.73
"Dawson County, NE",Dawson,NE,19,23898,79.5
"Deuel County, NE",Deuel,NE,2,1865,107.24
"Dixon County, NE",Dixon,NE,2,5545,36.07
"Dodge County, NE",Dodge,NE,58,37103,156.32
"Douglas County, NE",Douglas,NE,3770,585008,644.44
"Dundy County, NE",Dundy,NE,1,1635,61.16
"Fillmore County, NE",Fillmore,NE,4,5546,72.12
"Franklin County, NE",Franklin,NE,2,2903,68.89
"Frontier County, NE",Frontier,NE,0,2555,0
"Furnas County, NE",Furnas,NE,7,4604,152.04
"Gage County, NE",Gage,NE,31,21616,143.41
"Garden County, NE",Garden,NE,2,1847,108.28
"Garfield County, NE",Garfield,NE,3,1839,163.13
"Gosper County, NE",Gosper,NE,1,1824,54.82
"Grant County, NE",Grant,NE,0,579,0
"Greeley County, NE",Greeley,NE,0,2169,0
"Hall County, NE",Hall,NE,139,61979,224.27
"Hamilton County, NE",Hamilton,NE,17,9386,181.12
"Harlan County, NE",Harlan,NE,3,3091,97.06
"Hayes County, NE",Hayes,NE,0,843,0
"Hitchcock County, NE",Hitchcock,NE,0,2586,0
"Holt County, NE",Holt,NE,18,10049,179.12
"Hooker County, NE",Hooker,NE,2,734,272.48
"Howard County, NE",Howard,NE,6,6531,91.87
"Jefferson County, NE",Jefferson,NE,5,7176,69.68
"Johnson County, NE",Johnson,NE,4,5316,75.24
"Kearney County, NE",Kearney,NE,6,6674,89.9
"Keith County, NE",Keith,NE,14,8279,169.1
"Keya Paha County, NE",Keya Paha,NE,0,787,0
"Kimball County, NE",Kimball,NE,1,3412,29.31
"Knox County, NE",Knox,NE,7,8401,83.32
"Lancaster County, NE",Lancaster,NE,872,324514,268.71
"Lincoln County, NE",Lincoln,NE,93,34133,272.46
"Logan County, NE",Logan,NE,0,687,0
"Loup County, NE",Loup,NE,0,604,0
"Madison County, NE",Madison,NE,83,35337,234.88
"McPherson County, NE",McPherson,NE,0,379,0
"Merrick County, NE",Merrick,NE,3,7665,39.14
"Morrill County, NE",Morrill,NE,3,4574,65.59
"Nance County, NE",Nance,NE,0,3390,0
"Nemaha County, NE",Nemaha,NE,8,7064,113.25
"Nuckolls County, NE",Nuckolls,NE,6,4060,147.78
"Otoe County, NE",Otoe,NE,18,15930,112.99
"Pawnee County, NE",Pawnee,NE,2,2548,78.49
"Perkins County, NE",Perkins,NE,4,2832,141.24
"Phelps County, NE",Phelps,NE,14,8937,156.65
"Pierce County, NE",Pierce,NE,6,7313,82.05
"Platte County, NE",Platte,NE,50,34241,146.02
"Polk County, NE",Polk,NE,4,5174,77.31
"Red Willow County, NE",Red Willow,NE,14,10623,131.79
"Richardson County, NE",Richardson,NE,4,7759,51.55
"Rock County, NE",Rock,NE,2,1264,158.23
"Saline County, NE",Saline,NE,10,14192,70.46
"Sarpy County, NE",Sarpy,NE,316,193418,163.38
"Saunders County, NE",Saunders,NE,19,22787,83.38
"Scotts Bluff County, NE",Scotts Bluff,NE,88,35745,246.19
"Seward County, NE",Seward,NE,15,17603,85.21
"Sheridan County, NE",Sheridan,NE,2,5095,39.25
"Sherman County, NE",Sherman,NE,1,2964,33.74
"Sioux County, NE",Sioux,NE,1,1143,87.49
"Stanton County, NE",Stanton,NE,1,5816,17.19
"Thayer County, NE",Thayer,NE,6,4913,122.13
"Thomas County, NE",Thomas,NE,0,673,0
"Thurston County, NE",Thurston,NE,12,6620,181.27
"Valley County, NE",Valley,NE,6,4066,147.57
"Washington County, NE",Washington,NE,21,20969,100.15
"Wayne County, NE",Wayne,NE,7,9784,71.55
"Webster County, NE",Webster,NE,1,3411,29.32
"Wheeler County, NE",Wheeler,NE,0,795,0
"York County, NE",York,NE,16,14244,112.33
"Carson City, NV",Carson,NV,176,58993,298.34
"Churchill County, NV",Churchill,NV,27,25723,104.96
"Clark County, NV",Clark,NV,5494,2292476,239.65
"Douglas County, NV",Douglas,NV,117,49870,234.61
"Elko County, NV",Elko,NV,50,53915,92.74
"Esmeralda County, NV",Esmeralda,NV,2,743,269.18
"Eureka County, NV",Eureka,NV,0,1903,0
"Humboldt County, NV",Humboldt,NV,14,17648,79.33
"Lander County, NV",Lander,NV,4,5798,68.99
"Lincoln County, NV",Lincoln,NV,4,4525,88.4
"Lyon County, NV",Lyon,NV,22,60903,36.12
"Mineral County, NV",Mineral,NV,5,4586,109.03
"Nye County, NV",Nye,NV,24,53450,44.9
"Pershing County, NV",Pershing,NV,4,6741,59.34
"Storey County, NV",Storey,NV,0,4143,0
"Washoe County, NV",Washoe,NV,1881,493392,381.24
"White Pine County, NV",White Pine,NV,14,9182,152.47
"Belknap County, NH",Belknap,NH,175,64460,271.49
"Carroll County, NH",Carroll,NH,141,51500,273.79
"Cheshire County, NH",Cheshire,NH,218,77329,281.91
"Coos County, NH",Coos,NH,82,31289,262.07
"Grafton County, NH",Grafton,NH,1663,92201,1803.67
"Hillsborough County, NH",Hillsborough,NH,1287,424079,303.48
"Merrimack County, NH",Merrimack,NH,583,155238,375.55
"Rockingham County, NH",Rockingham,NH,890,316947,280.8
"Strafford County, NH",Strafford,NH,290,132416,219.01
"Sullivan County, NH",Sullivan,NH,122,43533,280.25
"Atlantic County, NJ",Atlantic,NJ,755,274966,274.58
"Bergen County, NJ",Bergen,NJ,6118,953819,641.42
"Burlington County, NJ",Burlington,NJ,1487,464269,320.29
"Camden County, NJ",Camden,NJ,2279,523771,435.11
"Cape May County, NJ",Cape May,NJ,170,95661,177.71
"Cumberland County, NJ",Cumberland,NJ,194,153627,126.28
"Essex County, NJ",Essex,NJ,3910,854917,457.35
"Gloucester County, NJ",Gloucester,NJ,443,304477,145.5
"Hudson County, NJ",Hudson,NJ,1574,702463,224.07
"Hunterdon County, NJ",Hunterdon,NJ,476,129924,366.37
"Mercer County, NJ",Mercer,NJ,1755,385898,454.78
"Middlesex County, NJ",Middlesex,NJ,3732,860807,433.55
"Monmouth County, NJ",Monmouth,NJ,3135,645354,485.78
"Morris County, NJ",Morris,NJ,2491,510981,487.49
"Ocean County, NJ",Ocean,NJ,979,648998,150.85
"Passaic County, NJ",Passaic,NJ,1166,518117,225.05
"Salem County, NJ",Salem,NJ,53,65046,81.48
"Somerset County, NJ",Somerset,NJ,1964,345647,568.21
"Sussex County, NJ",Sussex,NJ,210,145543,144.29
"Union County, NJ",Union,NJ,1688,572114,295.05
"Warren County, NJ",Warren,NJ,189,110731,170.68
"Bernalillo County, NM",Bernalillo,NM,4001,674393,593.27
"Catron County, NM",Catron,NM,6,3731,160.81
"Chaves County, NM",Chaves,NM,118,64629,182.58
"Cibola County, NM",Cibola,NM,24,27184,88.29
"Colfax County, NM",Colfax,NM,23,12369,185.95
"Curry County, NM",Curry,NM,64,47999,133.34
"De Baca County, NM",De Baca,NM,1,1680,59.52
"Dona Ana County, NM",Dona Ana,NM,454,221508,204.96
"Eddy County, NM",Eddy,NM,69,60911,113.28
"Grant County, NM",Grant,NM,67,27889,240.24
"Guadalupe County, NM",Guadalupe,NM,1,4449,22.48
"Harding County, NM",Harding,NM,0,639,0
"Hidalgo County, NM",Hidalgo,NM,2,4074,49.09
"Lea County, NM",Lea,NM,46,73004,63.01
"Lincoln County, NM",Lincoln,NM,37,20436,181.05
"Los Alamos County, NM",Los Alamos,NM,79,19330,408.69
"Luna County, NM",Luna,NM,21,25532,82.25
"McKinley County, NM",McKinley,NM,164,71780,228.48
"Mora County, NM",Mora,NM,1,4196,23.83
"Otero County, NM",Otero,NM,91,68537,132.78
"Quay County, NM",Quay,NM,4,8656,46.21
"Rio Arriba County, NM",Rio Arriba,NM,49,40179,121.95
"Roosevelt County, NM",Roosevelt,NM,15,19019,78.87
"San Juan County, NM",San Juan,NM,221,120993,182.66
"San Miguel County, NM",San Miguel,NM,44,27150,162.06
"Sandoval County, NM",Sandoval,NM,335,151369,221.31
"Santa Fe County, NM",Santa Fe,NM,809,155201,521.26
"Sierra County, NM",Sierra,NM,20,11502,173.88
"Socorro County, NM",Socorro,NM,23,16311,141.01
"Taos County, NM",Taos,NM,103,34623,297.49
"Torrance County, NM",Torrance,NM,3,15307,19.6
"Union County, NM",Union,NM,4,4107,97.39
"Valencia County, NM",Valencia,NM,52,77190,67.37
"Alamance County, NC",Alamance,NC,277,173877,159.31
"Alexander County, NC",Alexander,NC,15,36644,40.93
"Alleghany County, NC",Alleghany,NC,16,11049,144.81
"Anson County, NC",Anson,NC,17,22060,77.06
"Ashe County, NC",Ashe,NC,35,26711,131.03
"Avery County, NC",Avery,NC,19,17864,106.36
"Beaufort County, NC",Beaufort,NC,80,44468,179.9
"Bertie County, NC",Bertie,NC,6,17505,34.28
"Bladen County, NC",Bladen,NC,16,29525,54.19
"Brunswick County, NC",Brunswick,NC,217,144215,150.47
"Buncombe County, NC",Buncombe,NC,1783,271534,656.64
"Burke County, NC",Burke,NC,188,87611,214.58
"Cabarrus County, NC",Cabarrus,NC,534,231278,230.89
"Caldwell County, NC",Caldwell,NC,101,80463,125.52
"Camden County, NC",Camden,NC,5,10835,46.15
"Carteret County, NC",Carteret,NC,191,68541,278.67
"Caswell County, NC",Caswell,NC,11,22714,48.43
"Catawba County, NC",Catawba,NC,440,161723,272.07
"Chatham County, NC",Chatham,NC,731,77889,938.52
"Cherokee County, NC",Cherokee,NC,35,29167,120
"Chowan County, NC",Chowan,NC,34,13722,247.78
"Clay County, NC",Clay,NC,17,11309,150.32
"Cleveland County, NC",Cleveland,NC,162,100359,161.42
"Columbus County, NC",Columbus,NC,56,50092,111.79
"Craven County, NC",Craven,NC,301,100674,298.98
"Cumberland County, NC",Cumberland,NC,850,335508,253.35
"Currituck County, NC",Currituck,NC,15,29653,50.59
"Dare County, NC",Dare,NC,66,37826,174.48
"Davidson County, NC",Davidson,NC,116,170637,67.98
"Davie County, NC",Davie,NC,99,43533,227.41
"Duplin County, NC",Duplin,NC,32,48515,65.96
"Durham County, NC",Durham,NC,4275,326126,1310.84
"Edgecombe County, NC",Edgecombe,NC,38,48359,78.58
"Forsyth County, NC",Forsyth,NC,3000,385523,778.16
"Franklin County, NC",Franklin,NC,18,71703,25.1
"Gaston County, NC",Gaston,NC,390,230856,168.94
"Gates County, NC",Gates,NC,2,10366,19.29
"Graham County, NC",Graham,NC,4,8043,49.73
"Granville County, NC",Granville,NC,82,61986,132.29
"Greene County, NC",Greene,NC,5,20417,24.49
"Guilford County, NC",Guilford,NC,1734,542410,319.68
"Halifax County, NC",Halifax,NC,69,48272,142.94
"Harnett County, NC",Harnett,NC,89,135966,65.46
"Haywood County, NC",Haywood,NC,144,62476,230.49
"Henderson County, NC",Henderson,NC,368,116829,314.99
"Hertford County, NC",Hertford,NC,39,21278,183.29
"Hoke County, NC",Hoke,NC,20,53114,37.65
"Hyde County, NC",Hyde,NC,2,4508,44.37
"Iredell County, NC",Iredell,NC,426,191968,221.91
"Jackson County, NC",Jackson,NC,115,43410,264.92
"Johnston County, NC",Johnston,NC,143,226504,63.13
"Jones County, NC",Jones,NC,13,9255,140.46
"Lee County, NC",Lee,NC,99,64138,154.35
"Lenoir County, NC",Lenoir,NC,99,54706,180.97
"Lincoln County, NC",Lincoln,NC,106,89670,118.21
"Macon County, NC",Macon,NC,92,37564,244.92
"Madison County, NC",Madison,NC,23,21502,106.97
"Martin County, NC",Martin,NC,17,21754,78.15
"McDowell County, NC",McDowell,NC,51,44717,114.05
"Mecklenburg County, NC",Mecklenburg,NC,4525,1122276,403.2
"Mitchell County, NC",Mitchell,NC,25,14963,167.08
"Montgomery County, NC",Montgomery,NC,10,25798,38.76
"Moore County, NC",Moore,NC,523,102763,508.94
"Nash County, NC",Nash,NC,165,95176,173.36
"New Hanover County, NC",New Hanover,NC,1052,229018,459.35
"Northampton County, NC",Northampton,NC,7,17129,40.87
"Onslow County, NC",Onslow,NC,271,206160,131.45
"Orange County, NC",Orange,NC,2762,148884,1855.14
"Pamlico County, NC",Pamlico,NC,15,12344,121.52
"Pasquotank County, NC",Pasquotank,NC,80,40821,195.98
"Pender County, NC",Pender,NC,58,62815,92.33
"Perquimans County, NC",Perquimans,NC,7,13130,53.31
"Person County, NC",Person,NC,40,39127,102.23
"Pitt County, NC",Pitt,NC,1367,172169,793.99
"Polk County, NC",Polk,NC,58,19656,295.08
"Randolph County, NC",Randolph,NC,138,145172,95.06
"Richmond County, NC",Richmond,NC,28,42724,65.54
"Robeson County, NC",Robeson,NC,150,116328,128.95
"Rockingham County, NC",Rockingham,NC,86,91266,94.23
"Rowan County, NC",Rowan,NC,225,148150,151.87
"Rutherford County, NC",Rutherford,NC,93,64586,143.99
"Sampson County, NC",Sampson,NC,57,58990,96.63
"Scotland County, NC",Scotland,NC,48,34227,140.24
"Stanly County, NC",Stanly,NC,68,63425,107.21
"Stokes County, NC",Stokes,NC,28,44553,62.85
"Surry County, NC",Surry,NC,102,71152,143.36
"Swain County, NC",Swain,NC,22,14136,155.63
"Transylvania County, NC",Transylvania,NC,85,33165,256.29
"Tyrrell County, NC",Tyrrell,NC,0,3254,0
"Union County, NC",Union,NC,466,243648,191.26
"Vance County, NC",Vance,NC,49,42185,116.16
"Wake County, NC",Wake,NC,3994,1150204,347.24
"Warren County, NC",Warren,NC,3,18762,15.99
"Washington County, NC",Washington,NC,8,10892,73.45
"Watauga County, NC",Watauga,NC,193,54234,355.87
"Wayne County, NC",Wayne,NC,203,116835,173.75
"Wilkes County, NC",Wilkes,NC,80,65806,121.57
"Wilson County, NC",Wilson,NC,114,78369,145.47
"Yadkin County, NC",Yadkin,NC,20,37192,53.78
"Yancey County, NC",Yancey,NC,27,18757,143.95
"Adams County, ND",Adams,ND,18,2167,830.64
"Barnes County, ND",Barnes,ND,12,10806,111.05
"Benson County, ND",Benson,ND,2,5809,34.43
"Billings County, ND",Billings,ND,1,955,104.71
"Bottineau County, ND",Bottineau,ND,5,6390,78.25
"Bowman County, ND",Bowman,ND,1,2903,34.45
"Burke County, ND",Burke,ND,0,2158,0
"Burleigh County, ND",Burleigh,ND,459,98933,463.95
"Cass County, ND",Cass,ND,943,186562,505.46
"Cavalier County, ND",Cavalier,ND,5,3662,136.54
"Dickey County, ND",Dickey,ND,4,4897,81.68
"Divide County, ND",Divide,ND,1,2188,45.7
"Dunn County, ND",Dunn,ND,0,4035,0
"Eddy County, ND",Eddy,ND,0,2337,0
"Emmons County, ND",Emmons,ND,1,3271,30.57
"Foster County, ND",Foster,ND,3,3364,89.18
"Golden Valley County, ND",Golden Valley,ND,0,1770,0
"Grand Forks County, ND",Grand Forks,ND,361,72705,496.53
"Grant County, ND",Grant,ND,3,2323,129.14
"Griggs County, ND",Griggs,ND,2,2281,87.68
"Hettinger County, ND",Hettinger,ND,0,2430,0
"Kidder County, ND",Kidder,ND,2,2369,84.42
"LaMoure County, ND",LaMoure,ND,0,4066,0
"Logan County, ND",Logan,ND,0,1883,0
"McHenry County, ND",McHenry,ND,2,5249,38.1
"McIntosh County, ND",McIntosh,ND,3,2513,119.38
"McKenzie County, ND",McKenzie,ND,4,13819,28.95
"McLean County, ND",McLean,ND,6,9796,61.25
"Mercer County, ND",Mercer,ND,7,8323,84.1
"Morton County, ND",Morton,ND,25,33611,74.38
"Mountrail County, ND",Mountrail,ND,5,9576,52.21
"Nelson County, ND",Nelson,ND,3,3054,98.23
"Oliver County, ND",Oliver,ND,0,1873,0
"Pembina County, ND",Pembina,ND,6,6767,88.67
"Pierce County, ND",Pierce,ND,4,3953,101.19
"Ramsey County, ND",Ramsey,ND,20,11572,172.83
"Ransom County, ND",Ransom,ND,6,5675,105.73
"Renville County, ND",Renville,ND,1,2266,44.13
"Richland County, ND",Richland,ND,24,16560,144.93
"Rolette County, ND",Rolette,ND,19,12048,157.7
"Sargent County, ND",Sargent,ND,0,3829,0
"Sheridan County, ND",Sheridan,ND,0,1268,0
"Sioux County, ND",Sioux,ND,0,3738,0
"Slope County, ND",Slope,ND,0,690,0
"Stark County, ND",Stark,ND,45,33046,136.17
"Steele County, ND",Steele,ND,1,1810,55.25
"Stutsman County, ND",Stutsman,ND,38,21576,176.12
"Towner County, ND",Towner,ND,0,2140,0
"Traill County, ND",Traill,ND,8,8003,99.96
"Walsh County, ND",Walsh,ND,10,10469,95.52
"Ward County, ND",Ward,ND,194,69071,280.87
"Wells County, ND",Wells,ND,6,3905,153.65
"Williams County, ND",Williams,ND,55,38484,142.92
"Albany County, NY",Albany,NY,2209,313743,704.08
"Allegany County, NY",Allegany,NY,42,46106,91.09
"Bronx County, NY",Bronx,NY,4961,1424948,348.15
"Broome County, NY",Broome,NY,652,197240,330.56
"Cattaraugus County, NY",Cattaraugus,NY,113,76426,147.86
"Cayuga County, NY",Cayuga,NY,89,75880,117.29
"Chautauqua County, NY",Chautauqua,NY,211,126807,166.39
"Chemung County, NY",Chemung,NY,283,83045,340.78
"Chenango County, NY",Chenango,NY,52,46537,111.74
"Clinton County, NY",Clinton,NY,244,79596,306.55
"Columbia County, NY",Columbia,NY,137,61778,221.76
"Cortland County, NY",Cortland,NY,55,46311,118.76
"Delaware County, NY",Delaware,NY,36,44378,81.12
"Dutchess County, NY",Dutchess,NY,1077,297112,362.49
"Erie County, NY",Erie,NY,4237,950683,445.68
"Essex County, NY",Essex,NY,62,37268,166.36
"Franklin County, NY",Franklin,NY,99,47456,208.61
"Fulton County, NY",Fulton,NY,61,53116,114.84
"Genesee County, NY",Genesee,NY,77,57853,133.1
"Greene County, NY",Greene,NY,45,48499,92.79
"Hamilton County, NY",Hamilton,NY,4,5119,78.14
"Herkimer County, NY",Herkimer,NY,45,59937,75.08
"Jefferson County, NY",Jefferson,NY,233,116295,200.35
"Kings County, NY",Kings,NY,9296,2641052,351.98
"Lewis County, NY",Lewis,NY,27,26573,101.61
"Livingston County, NY",Livingston,NY,64,61578,103.93
"Madison County, NY",Madison,NY,138,67658,203.97
"Monroe County, NY",Monroe,NY,4677,755160,619.34
"Montgomery County, NY",Montgomery,NY,79,49558,159.41
"Nassau County, NY",Nassau,NY,10888,1390907,782.8
"New York County, NY",New York,NY,24912,1576876,1579.83
"Niagara County, NY",Niagara,NY,296,211653,139.85
"Oneida County, NY",Oneida,NY,566,230274,245.79
"Onondaga County, NY",Onondaga,NY,2728,473236,576.46
"Ontario County, NY",Ontario,NY,359,112508,319.09
"Orange County, NY",Orange,NY,1051,404525,259.81
"Orleans County, NY",Orleans,NY,21,40191,52.25
"Oswego County, NY",Oswego,NY,105,117387,89.45
"Otsego County, NY",Otsego,NY,439,58123,755.29
"Putnam County, NY",Putnam,NY,239,97936,244.04
"Queens County, NY",Queens,NY,7219,2331143,309.68
"Rensselaer County, NY",Rensselaer,NY,279,160232,174.12
"Richmond County, NY",Richmond,NY,1994,493494,404.06
"Rockland County, NY",Rockland,NY,1350,339227,397.96
"Saratoga County, NY",Saratoga,NY,620,237359,261.21
"Schenectady County, NY",Schenectady,NY,492,158089,311.22
"Schoharie County, NY",Schoharie,NY,22,29863,73.67
"Schuyler County, NY",Schuyler,NY,24,17752,135.2
