county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Laurens County, GA",Laurens,GA,146,49547,294.67
"Lee County, GA",Lee,GA,42,33411,125.71
"Liberty County, GA",Liberty,GA,63,65711,95.87
"Lincoln County, GA",Lincoln,GA,2,7749,25.81
"Long County, GA",Long,GA,2,17152,11.66
"Lowndes County, GA",Lowndes,GA,253,119276,212.11
"Lumpkin County, GA",Lumpkin,GA,27,34278,78.77
"Macon County, GA",Macon,GA,3,12004,24.99
"Madison County, GA",Madison,GA,9,30885,29.14
"Marion County, GA",Marion,GA,4,7440,53.76
"McDuffie County, GA",McDuffie,GA,18,21633,83.21
"McIntosh County, GA",McIntosh,GA,1,11123,8.99
"Meriwether County, GA",Meriwether,GA,14,20793,67.33
"Miller County, GA",Miller,GA,7,5919,118.26
"Mitchell County, GA",Mitchell,GA,16,21521,74.35
"Monroe County, GA",Monroe,GA,34,28712,118.42
"Montgomery County, GA",Montgomery,GA,1,8653,11.56
"Morgan County, GA",Morgan,GA,31,20635,150.23
"Murray County, GA",Murray,GA,12,39951,30.04
