County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Robertson County,TN,15.4,23.5,6.2,0.6,0.7,7.8,7.4,0.1,1.7,89,82.6
Robertson County,TX,20,23.4,6.3,1.1,0.8,20.2,21.9,0.1,1.7,76.1,56.6
Robeson County,NC,15.7,24.7,6.6,42.3,0.7,23.6,9.2,0.2,2.7,30.6,24.7
Rock County,MN,20.5,25,5.6,0.9,0.8,0.9,3.5,0,1.6,95.8,93
Rock County,NE,26.7,21.3,6,1,0.4,0.3,1.9,-1,0.5,97.8,96.3
Rock County,WI,17.1,22.9,6,0.6,1.3,5.3,9.1,0.1,2.5,90.3,82.3
Rock Island County,IL,19.8,22.2,6.1,0.6,2.7,11.1,13.2,0,3,82.6,71
Rockbridge County,VA,26.8,17.1,4,0.6,0.7,3.3,2,0,1.8,93.5,91.9
Rockcastle County,KY,18.8,21.2,5.4,0.4,0.1,0.5,1,0,1.2,97.8,96.9
Rockdale County,GA,14.9,24.2,5.8,0.5,1.9,58.1,10.5,0.2,2.3,37,28.9
Rockingham County,NC,20.9,20.1,5.1,0.6,0.7,19,6.3,0.1,2.1,77.5,72.1
Rockingham County,NH,18.6,19.1,4.6,0.2,2.2,1.1,3.3,0,1.5,94.9,92.2
Rockingham County,VA,19.5,21.8,5.6,0.6,1,2.5,7.4,0.1,1.6,94.2,87.9
Rockland County,NY,15.9,28.4,8.2,0.6,6.2,13.1,18.4,0.1,2.1,77.9,62.7
Rockwall County,TX,12.8,26.6,6.1,0.8,3.2,7.4,18.6,0.1,2.1,86.3,69
Roger Mills County,OK,22,24.4,6.3,6.8,0.6,0.7,7.4,0.1,2.8,89,83.4
Rogers County,OK,16.7,23.1,5.8,13.6,1.5,1.3,5,0.1,8.5,75.1,71.2
Rolette County,ND,12.2,33.7,8.6,78,0.2,0.5,2.1,0,2.9,18.4,17.9
Rooks County,KS,23.1,22.2,5.6,0.5,0.8,0.8,2.4,0.1,1.6,96.1,94.1
Roosevelt County,MT,11.8,33.5,9.8,60.5,0.6,0.4,4.1,0,3.8,34.7,33.3
Roosevelt County,NM,14.7,24.4,6.8,2.3,1.5,2.9,43.2,0.2,2.4,90.8,50.5
Roscommon County,MI,33.3,14.8,3.7,1,0.7,0.7,2.1,0,1.5,96.2,94.4
Roseau County,MN,18.1,24.2,5.8,1.9,2.8,0.7,1.5,0,2,92.6,91.5
Rosebud County,MT,16.5,28.7,8.2,39.7,1,0.4,5.4,0,3,55.8,54.2
Ross County,OH,17.1,21.2,5.6,0.3,0.6,5.6,1.4,0,2.7,90.7,89.7
Routt County,CO,16.6,17.8,4.4,0.7,0.9,1.1,6.9,0.1,1.5,95.7,89.6
Rowan County,KY,14.5,19.5,5.4,0.2,0.8,1.8,1.8,0,1.2,96,94.5
Rowan County,NC,17.9,22.1,5.8,0.6,1.2,16.9,9.4,0.1,1.8,79.4,71.4
Runnels County,TX,21,23.2,5.8,1.8,1.4,2.6,34.8,0,1.3,92.9,60.6
Rush County,IN,18.7,22.6,5.7,0.4,0.4,1,1.8,0,1.3,96.8,95.4
Rush County,KS,25.4,20.4,5.2,1,0.4,0.5,4.2,0.1,1.7,96.3,92.6
Rusk County,TX,16.9,22.1,5.5,1.1,0.7,17.5,17.5,0.1,1.8,78.9,63
Rusk County,WI,24.8,20.3,5.2,0.7,0.3,1.3,2,0,1.5,96.1,94.4
Russell County,AL,14.8,24.1,6.9,0.7,0.9,45.5,5.8,0.3,2.7,49.9,45.8
Russell County,KS,24.7,21.7,5.8,1.1,0.7,1.3,3.9,0,1.9,94.9,91.5
Russell County,KY,20.2,22.7,6.1,0.5,0.5,0.9,4,0,1.4,96.7,93.2
Russell County,VA,22.5,18.7,4.7,0.3,0.2,1.1,1.4,0,0.8,97.6,96.6
Rutherford County,NC,22.2,20.3,5.1,0.4,0.6,9.9,4.8,0.1,2.1,87,82.8
Rutherford County,TN,10.8,24.5,6.5,0.5,3.6,16.3,8.7,0.1,2.8,76.6,69.1
Rutland County,VT,22.7,17.6,4.4,0.3,1,0.7,1.6,0,1.5,96.4,95.1
Sabine County,TX,31,18.1,4.8,1,0.4,6.9,4.9,0.1,1.7,89.9,85.6
Sabine Parish,LA,21.2,23.1,5.7,9.3,0.4,16.8,3.9,0,4,69.5,67.4
Sac County,IA,23.9,22.8,6,0.2,0.5,0.4,3.8,0.2,1.3,97.3,93.8
Sacramento County,CA,14.5,23.4,6.3,1.5,17,10.9,23.6,1.3,6.5,62.8,43.8
Sagadahoc County,ME,22.8,19,4.8,0.5,0.9,0.9,1.9,0,1.7,96,94.4
Saginaw County,MI,19.6,21.4,5.8,0.6,1.4,19.3,8.7,0.1,2.4,76.3,69.1
Saguache County,CO,24.5,21.1,5.5,3.6,0.9,1.2,36.4,0.1,3,91.2,58.1
Salem County,NJ,19,21.4,5.6,0.6,1.1,14.8,9.8,0,2.4,81.1,73.4
Salem city,VA,19,19.1,4.5,0.1,1.7,6.7,3.3,0.1,3,87.4,85.3
Saline County,AR,18.2,23.1,5.7,0.6,1.3,8.4,5.1,0.1,1.6,87.9,83.4
Saline County,IL,20.5,21.4,6.2,0.5,0.6,3.8,1.7,0.1,2.1,92.9,91.6
Saline County,KS,18.3,23.3,6.3,0.8,2.3,3.6,11.8,0.1,3.1,90.1,79.6
Saline County,MO,18.7,22.3,5.5,0.9,1,5.4,10.9,1.3,2.5,88.9,79.5
Saline County,NE,15.4,25.9,6.9,1.7,3.1,1.8,26.6,0.6,1.5,91.3,67.9
Salt Lake County,UT,11.2,26.6,7.2,1.4,4.6,2.2,18.8,1.8,2.9,87.1,70.3
Saluda County,SC,20.3,21.3,5.9,1.4,0.4,26,15.9,1,1.4,69.8,58.3
Sampson County,NC,18.3,24.3,6.5,3.7,0.6,26.6,20.6,0.3,2.3,66.6,50.3
San Augustine County,TX,27,19.5,5.1,0.9,0.4,21.3,7.7,0,1.8,75.7,69.1
San Benito County,CA,13.1,25.5,6.5,3.1,3.9,1.6,60.8,0.4,3.6,87.4,32.8
San Bernardino County,CA,11.9,26.1,7,2.1,8,9.4,54.4,0.5,3.6,76.6,27.3
San Diego County,CA,14.5,21.4,6.1,1.3,12.6,5.5,34.1,0.6,4.6,75.4,45
San Francisco County,CA,16.1,13.4,4.5,0.7,36,5.6,15.2,0.5,4.5,52.8,40.2
San Jacinto County,TX,22.5,21.2,5.4,1,0.5,9.5,13.8,0.1,2.1,86.7,74.3
San Joaquin County,CA,13.1,26.8,6.9,2,17.4,8.3,42,0.8,5.5,66.1,30.5
San Juan County,CO,25.8,12.5,3.7,1.1,0.8,0.3,12.5,-1,3.2,94.6,83.2
San Juan County,NM,15.6,26,6.3,41.6,0.6,0.8,20.6,0.1,2.9,54.1,37.5
San Juan County,UT,14.9,29.3,7.2,49,0.6,0.4,5.8,0.1,2.1,47.8,44.3
San Juan County,WA,35.2,12.7,2.8,1.1,1.5,0.8,6.8,0.2,2.6,93.9,88
San Luis Obispo County,CA,20.9,17.5,4.5,1.4,4,2,22.9,0.2,3.6,88.8,68.5
San Mateo County,CA,16.6,20.2,5.5,0.9,30.6,2.8,24,1.5,4.8,59.5,38.7
San Miguel County,CO,15.5,17.3,4.1,1.3,0.8,0.9,11.4,0.1,1.9,95,85.2
San Miguel County,NM,22.6,17.5,4.5,3.3,1.5,2.1,77.6,0.2,2,90.9,17.9
San Patricio County,TX,15.3,26.4,7,1,1.2,2.1,58.5,0.2,1.5,94.1,37.6
San Saba County,TX,24.2,20,5.4,1.5,0.6,4,30.6,-1,1.9,92,63.4
Sanborn County,SD,20.2,25,7.3,0.5,0.2,0.4,3.2,0,1.9,97,94.2
Sanders County,MT,32.4,17.4,4.7,4.2,0.5,0.3,3.3,0,2.7,92.3,89.8
Sandoval County,NM,18.5,22.8,5.4,14.1,1.7,2.7,39.9,0.2,3.1,78.2,42.5
Sandusky County,OH,19.3,22.1,5.6,0.4,0.5,3.4,10.2,0,2.5,93.1,84
Sangamon County,IL,18.4,22.1,5.8,0.3,2.2,13,2.4,0,2.5,82,80
Sanilac County,MI,22.1,21.4,5.3,0.6,0.4,0.6,3.8,0,1.2,97.1,93.8
Sanpete County,UT,14.5,25.2,6.1,1.7,0.8,1.2,9.5,0.6,1.8,94,86
Santa Barbara County,CA,15.7,22.1,6.1,2.1,6,2.4,46,0.3,3.8,85.4,43.8
Santa Clara County,CA,13.9,21.6,5.8,1.2,39,2.8,25,0.5,4.2,52.4,30.6
Santa Cruz County,AZ,18.5,26.6,6.9,1.4,0.8,1,83.3,0.1,1.2,95.5,15
Santa Cruz County,CA,17.3,19,4.9,1.8,5.3,1.5,34,0.2,4.2,87,56.8
Santa Fe County,NM,25.3,17.6,4.1,4.3,1.6,1.2,50.9,0.2,2.1,90.6,43.2
Santa Rosa County,FL,16.3,21.8,5.6,0.9,2.2,6.5,5.9,0.2,3.4,86.9,82
Sarasota County,FL,37.3,14,3.5,0.3,1.8,4.7,9.6,0.1,1.6,91.5,82.8
Saratoga County,NY,18.8,19.7,5,0.2,2.9,2,3.4,0,1.9,92.9,90.1
Sargent County,ND,22.7,21.6,6.2,1.5,0.9,1.8,3.4,0.1,2.1,93.5,90.7
Sarpy County,NE,12.1,27.2,7.1,0.8,2.7,4.4,10.1,0.1,3.2,88.8,80.1
Sauk County,WI,19.1,22.7,5.9,1.4,0.7,1.3,5.4,0,1.4,95.1,90.4
Saunders County,NE,18.9,24.4,6.3,0.5,0.4,0.6,2.4,0,1.5,97,94.9
Sawyer County,WI,26.7,19.2,4.7,17.7,0.4,0.7,2.9,-1,3.1,78.2,76.7
Schenectady County,NY,17.3,21.6,5.9,0.7,5,12.7,7.4,0.2,3.8,77.5,72.5
Schleicher County,TX,20,23.9,4,1.1,0.4,1.8,54.6,-1,2.3,94.5,42.9
Schley County,GA,17.8,23.9,4.9,0.1,0.9,20.3,5.7,-1,2.9,75.8,72.1
Schoharie County,NY,22.7,17.3,4.1,0.3,0.8,1.6,3.4,0,1.7,95.7,92.9
Schoolcraft County,MI,27.5,17.2,4.3,9.3,0.3,0.4,1.3,-1,3.8,86.2,85.3
Schuyler County,IL,23.4,18.2,4.2,0.2,0.4,3.6,2.3,-1,0.7,95,92.9
Schuyler County,MO,19.5,25.7,8.6,0.4,0.3,0.1,1.7,-1,1.2,98,96.4
Schuyler County,NY,22,18.6,4.7,0.3,0.7,1.1,2,0,1.5,96.3,94.6
Schuylkill County,PA,20.7,19.7,4.9,0.4,0.6,3.6,5.2,0,1.3,94.1,90.1
Scioto County,OH,18.6,21.6,5.8,0.5,0.4,2.7,1.4,0,1.9,94.4,93.2
Scotland County,MO,18.5,28.8,8,0.3,0.2,0.1,1.1,-1,1.2,98.1,97.1
Scotland County,NC,18.8,23.1,6.6,12.8,0.9,38.9,3.3,0.1,2.7,44.6,42.5
Scott County,AR,21.4,23,6,2.6,3.1,0.7,7.9,0,2.4,91.1,84.2
Scott County,IA,16.7,23.6,6.2,0.4,2.9,8,7,0.1,3.1,85.5,79.5
Scott County,IL,19.6,21.1,5,0.2,0.2,0.6,1.4,0.5,1,97.4,96.2
Scott County,IN,17.1,22.5,5.8,0.4,0.9,0.5,2.5,0.1,1,97.1,95.1
Scott County,KS,20.2,26.3,5.9,1.4,1.3,0.8,18.3,0.2,1.2,95.1,78.2
Scott County,KY,12.4,25.1,6.5,0.4,1.4,5.5,4.3,0,2,90.7,87
Scott County,MN,11.3,27.1,6.6,1.1,6.4,5.4,5.3,0.1,2.5,84.5,80.1
Scott County,MO,18.6,24,6.5,0.4,0.5,12.1,2.4,0.1,1.9,85.1,83.1
Scott County,MS,15.4,26.7,8,0.7,0.6,38.6,11.9,0.4,1.5,58.2,48.9
Scott County,TN,17.2,24.1,6.1,0.4,0.3,0.3,1.1,0,1,98,97
Scott County,VA,24.9,17.8,4.1,0.3,0.2,0.9,1.5,0.1,0.9,97.6,96.4
Scotts Bluff County,NE,19.6,24.7,6.6,3.5,0.9,1.2,24.2,0.1,1.6,92.7,71.6
Screven County,GA,19.5,21.2,6.1,0.5,0.7,41,2.5,0,1.4,56.5,54.8
Scurry County,TX,15.4,24.8,6.7,1.4,0.8,5.5,40.8,0.1,1.9,90.4,52.4
Searcy County,AR,26,19.5,5.1,1.6,0.4,0.5,2.8,0,2.5,95,92.6
Sebastian County,AR,16.4,24,6.7,2.4,4.7,7,14.8,0.2,3.8,81.8,68.7
Sedgwick County,CO,27.1,19.6,4.4,1.2,1.4,0.9,16.3,0.2,2.6,93.6,79.9
Sedgwick County,KS,14.9,25.4,6.7,1.3,4.6,9.3,15,0.1,3.9,80.9,67.6
Seminole County,FL,16,20.8,5.2,0.5,5,13.1,22.5,0.1,2.9,78.6,58.9
Seminole County,GA,23.2,20.8,5.2,0.3,0.8,33.1,3.6,0,1.6,64.1,61.4
Seminole County,OK,18.4,24.5,6.3,20.1,0.4,4.3,5.3,0.1,7.9,67.2,64.1
Seneca County,NY,19.6,20,5.1,0.5,0.8,5.4,3.7,0,1.8,91.4,88.6
Seneca County,OH,18.6,21.7,5.6,0.3,0.8,2.7,5.4,0,2.3,94,89.2
Sequatchie County,TN,20.8,20.6,5.4,0.6,0.5,0.8,3.7,0.1,1.7,96.4,93.2
Sequoyah County,OK,18.8,23.2,6.3,22.5,0.8,1.8,4.3,0.1,9.9,64.8,62.3
Sevier County,AR,14.9,28.6,7.5,3.6,0.6,4.2,34.3,1.3,2.6,87.8,56
Sevier County,TN,20.3,20.4,5.4,0.7,1.2,1.4,6.4,0.1,1.6,95,89.4
Sevier County,UT,16.5,28.9,7.4,1.6,0.4,0.6,5.5,0.2,1.4,95.8,91.3
Seward County,KS,10.1,31.9,9.1,1.7,3,4.6,63.1,0.2,1.9,88.7,28.9
Seward County,NE,17.2,23.6,5.9,0.5,0.5,0.8,2.6,0,1.4,96.7,94.5
Shackelford County,TX,21.2,22.8,5.6,1,0.5,1.8,11.3,0.1,1.8,94.8,85.2
Shannon County,MO,22.6,21.3,5.5,1.4,0.3,0.5,2,0,2.6,95.2,93.5
Sharkey County,MS,20,24.7,6.4,0.2,0.6,71,2.3,-1,0.8,27.5,25.9
Sharp County,AR,26.4,20.5,5.5,1.1,0.6,1,2.6,0.1,2.1,95.1,92.8
Shasta County,CA,21.1,21.6,5.8,3.2,3.1,1.2,10.5,0.2,4.6,87.6,79.2
Shawano County,WI,21.6,21.4,5.4,8.6,0.5,0.6,2.9,0.1,2.2,88,86.2
Shawnee County,KS,18.8,23.3,6,1.4,1.6,8.5,12.8,0.1,4.2,84.2,73.5
Sheboygan County,WI,18.5,21.9,5.5,0.6,5.8,2.3,6.7,0.1,1.7,89.6,83.5
Shelby County,AL,16,23.2,5.6,0.4,2.3,13.3,5.8,0.1,1.4,82.5,77.2
Shelby County,IA,23.1,22.5,5.2,0.5,0.6,1.2,3.3,0.1,1,96.7,94.1
Shelby County,IL,23.2,21.1,5.5,0.3,0.3,0.4,1.2,0,1,98,97
Shelby County,IN,17.5,22.6,5.9,0.3,0.8,1.4,4.4,0.1,1.3,96,92.1
Shelby County,KY,15.8,22.4,6,0.6,1.1,7.3,9.8,0.2,2.3,88.6,80.1
Shelby County,MO,21.8,24.1,6.6,0.4,0.2,0.9,2.2,-1,1.5,97,95.1
Shelby County,OH,17,24.6,6.5,0.2,1.2,2.3,1.6,0.1,2.1,93.9,92.6
Shelby County,TN,14,24.8,6.9,0.3,2.8,54.3,6.6,0.1,1.6,40.9,35.3
Shelby County,TX,17.9,26,7.1,1,1.4,17.8,18.7,0.1,1.5,78.2,61.3
Shenandoah County,VA,22.2,21,5.5,0.5,1.1,2.9,7.4,0.1,1.9,93.6,87.2
Sherburne County,MN,11.7,26.2,6.8,0.6,1.3,3.2,2.8,0,2.1,92.8,90.5
Sheridan County,KS,23.7,24.4,6,0.6,0.4,0.8,5.7,0,1.1,97.1,92.2
Sheridan County,MT,23.3,20.9,5.9,2.4,0.5,0.6,4.2,-1,3.5,93,90.3
Sheridan County,ND,34.1,17.9,4.9,1.5,0.3,0.3,1.4,0.1,1.8,96,95
Sheridan County,NE,26.7,22,6.2,11.1,0.4,0.4,6.1,0.3,3.8,84,80.7
Sheridan County,WY,21.7,21.1,5.1,1.3,0.9,0.9,4.4,0.1,1.7,95,91.4
Sherman County,KS,19.5,24.8,6.8,0.6,0.5,1.1,12.4,0.2,2.1,95.5,84
Sherman County,NE,28.1,21.3,5.2,0.4,0.4,0.3,2.2,-1,0.6,98.2,96.3
Sherman County,OR,25.4,18.9,5,2.9,0.8,0.4,6.9,0.1,2.4,93.4,87.7
Sherman County,TX,15.3,26.7,6.4,1.3,0.8,1.9,44.2,-1,1.3,94.7,52.9
Shiawassee County,MI,19,20.8,5.2,0.6,0.5,0.8,3.1,0.1,1.6,96.4,93.8
Shoshone County,ID,23.1,20.5,6.2,1.8,0.7,0.7,3.6,0.2,2.7,94,91.1
Sibley County,MN,18.9,23,5.6,0.5,0.7,0.8,9.3,0.1,1.4,96.5,88
Sierra County,CA,32,16.5,4.6,2.6,0.9,0.7,12.7,0.1,3.1,92.6,82.1
Sierra County,NM,37.4,15.8,4.8,3.1,1,0.8,31,0.1,3.3,91.8,64
Silver Bow County,MT,19.5,20.2,5.6,2.3,0.7,0.7,4.7,0.1,2.4,93.7,90.2
Simpson County,KY,16.7,23.7,6.4,0.4,0.8,9.6,2.6,0.1,2.1,87,85
Simpson County,MS,18.1,23.3,5.6,0.4,0.6,35.2,1.9,0.1,1.1,62.7,61.5
Sioux County,IA,16.3,26.9,7,0.6,0.9,0.8,11.2,0.1,0.8,96.8,86.5
Sioux County,ND,8.5,35.8,9.9,81.4,0.2,0.7,5.1,0,4,13.6,12.5
Sioux County,NE,30.5,17.3,4.5,1.5,0.3,0.3,5.3,-1,2.1,95.7,91.6
Siskiyou County,CA,26.1,20.1,5,5.1,1.6,1.5,13.2,0.4,5.5,85.9,75.2
Sitka City and Borough,AK,16.1,20.6,5,15.7,7.6,1,7.4,0.4,9.4,65.8,61.7
Skagit County,WA,21.5,21.5,5.8,2.7,2.3,1.1,18.6,0.4,3.2,90.3,74.1
Skagway Municipality,AK,15.8,15.4,4.7,5.5,2.4,0.8,6.7,0.3,4.7,86.3,80.8
Skamania County,WA,22.1,18.3,4.3,2,1.1,0.7,6.8,0.3,3.2,92.8,87
Slope County,ND,23.7,20.3,6,2.9,-1,1.1,4.1,-1,0.7,95.3,93.1
Smith County,KS,28,20.7,6.2,0.5,0.5,0.3,2.3,0.1,2.5,96.1,94.2
Smith County,MS,20.5,22.9,5.9,0.2,0.1,23.7,1.8,0,0.7,75.3,73.9
Smith County,TN,17.3,22.3,6,0.5,0.5,2.3,3.1,0,1.6,95.3,92.6
Smith County,TX,16.9,24.4,6.7,0.8,1.6,17.8,20.1,0.1,1.8,77.8,59.1
Smyth County,VA,22.6,19.1,4.7,0.2,0.5,2.5,2,0,1.1,95.7,94
Snohomish County,WA,14,22.4,6.3,1.6,12,3.8,10.6,0.7,4.9,77,68.1
Snyder County,PA,19.5,20.7,5.4,0.2,0.7,1.4,2.2,0.1,1.1,96.6,94.9
Socorro County,NM,20.1,22.2,5.6,14.7,2.3,1.4,49.8,0.1,2.7,78.8,33.5
Solano County,CA,16.3,22,6,1.3,16.2,14.8,27.3,1,7.1,59.6,37.2
Somerset County,MD,17.3,16.9,4.6,0.5,1,41.5,4,0.1,2.7,54.2,51.4
Somerset County,ME,21.3,18.8,4.7,0.6,0.7,0.6,1.2,0,1.6,96.4,95.4
Somerset County,NJ,16.2,21.5,5,0.4,18.8,10.5,15.2,0.1,2.1,68.1,54.8
Somerset County,PA,23,17.7,4.6,0.2,0.5,3.1,1.6,0,0.8,95.4,94.1
Somervell County,TX,19.4,22,5,1.7,1.1,1.3,18.1,0,2.2,93.7,77.8
Sonoma County,CA,20.7,19.3,4.8,2.2,4.6,2.1,27.3,0.4,4,86.8,62.9
Southampton County,VA,20.8,18.6,4.2,0.5,0.5,34.7,2,0.1,1.9,62.3,61
Southeast Fairbanks Census Area,AK,15.6,24.9,7.7,12,2.5,2.1,7,0.6,5.4,77.4,72.4
Spalding County,GA,18.3,23.5,6.4,0.5,1,34.9,5,0.1,1.9,61.5,57.5
Spartanburg County,SC,16.4,23.1,6.1,0.4,2.6,20.9,7.3,0.1,2,74,67.8
Spencer County,IN,20,21.6,5.3,0.3,0.3,1,3,-1,1.2,97.1,94.6
Spencer County,KY,14.6,22.5,5.7,0.3,0.4,1.8,2.8,0.1,1.4,96,93.6
Spink County,SD,21.2,23,6.4,2.7,0.2,0.7,3.4,0,1,95.4,93.4
Spokane County,WA,16.6,22,6,1.8,2.4,2,6.1,0.6,4.2,88.9,84
Spotsylvania County,VA,14.7,24.5,6.1,0.5,2.8,17.5,10.7,0.2,3.6,75.4,66.6
St. Bernard Parish,LA,12,26.5,7,0.9,2.3,24,10.3,0.1,2.7,70.1,61.7
St. Charles County,MO,15.8,23,5.7,0.2,2.8,5.3,3.4,0.1,2.1,89.6,86.6
St. Charles Parish,LA,14.1,24.2,6,0.4,1.1,26.5,6.4,0.1,1.7,70.2,64.8
St. Clair County,AL,16.9,22.5,5.8,0.4,0.9,9.7,2.4,0.1,1.5,87.5,85.4
St. Clair County,IL,16.4,23.3,6.3,0.4,1.6,30.6,4.3,0.1,2.6,64.8,61.2
St. Clair County,MI,19.4,20.5,4.9,0.5,0.6,2.6,3.5,0,2.3,94,91
St. Clair County,MO,27.6,19.8,5.5,0.9,0.3,0.7,2.3,0,1.7,96.3,94.4
St. Croix County,WI,14.7,24.5,6,0.5,1.1,0.9,2.6,0,1.6,95.9,93.6
St. Francis County,AR,16.8,20.9,6.2,0.8,0.6,52.8,5.5,0.1,1.6,44,39.8
St. Francois County,MO,16.6,21,5.4,0.5,0.5,4.6,1.7,0.1,1.4,92.9,91.6
St. Helena Parish,LA,20.6,20.7,5.5,0.5,0.2,52,2,0.1,1.5,45.7,44.5
St. James Parish,LA,17.7,22.9,6.2,0.3,0.4,48.8,1.8,0,0.8,49.7,48.4
St. John the Baptist Parish,LA,14.7,24.5,6.5,0.5,1.2,58.4,6.7,0.2,1.4,38.4,33.1
St. Johns County,FL,20.6,21.6,4.9,0.3,3.3,5.6,7.5,0.1,2.2,88.6,81.9
St. Joseph County,IN,16.2,23.4,6.4,0.6,2.7,13.8,9.1,0.1,3.1,79.7,71.8
St. Joseph County,MI,18.5,24.1,6.4,0.6,0.7,2.5,8.4,0,2.5,93.8,86.1
St. Landry Parish,LA,16.6,26.5,7.3,0.4,0.5,41.5,2.4,0,1.3,56.2,54.5
St. Lawrence County,NY,18,20.1,5,1,1.1,2.6,2.4,0.1,1.5,93.7,92
St. Louis County,MN,20.1,18.9,5,2.4,1.1,1.7,1.8,0.1,2.5,92.2,90.9
St. Louis County,MO,18.5,21.9,5.8,0.2,4.7,25,3,0,2.2,67.9,65.3
St. Louis city,MO,13.1,19.4,6.4,0.3,3.4,46.4,4,0.1,2.4,46.5,43.6
St. Lucie County,FL,24.7,19.5,5,0.6,2,21.4,19.9,0.1,2.3,73.6,55.9
St. Martin Parish,LA,15.7,23.9,6.6,0.7,1,30,3,0,1.4,66.8,64.7
St. Mary Parish,LA,17,23.9,6.9,2.2,1.7,31.9,7.2,0.1,2.4,61.8,56.1
St. Mary's County,MD,13.4,23.9,6.3,0.5,2.9,14.9,5.6,0.1,3.6,78.1,73.5
St. Tammany Parish,LA,17.5,23.7,5.9,0.6,1.5,12.7,5.9,0,2,83.2,78
Stafford County,KS,23.1,23.3,6.3,2.1,0.5,0.7,13.4,0,2.2,94.4,83
Stafford County,VA,10.7,25.9,6.4,0.8,3.6,20,14.2,0.2,4.5,70.9,59.3
Stanislaus County,CA,13.4,27,7.1,2,6.1,3.5,47.6,0.9,4.2,83.3,40.4
Stanley County,SD,20.4,25.2,7.1,7.1,0.3,0.7,2.4,-1,3.6,88.3,86.2
Stanly County,NC,19.3,21.5,5.8,0.5,2,11.4,4.4,0.3,1.5,84.4,80.8
Stanton County,KS,17.3,27.9,6.8,2.5,0.3,1,38,0.2,3.6,92.4,57.1
Stanton County,NE,18.7,24.4,6.3,0.9,0.4,1,5.7,0,1.3,96.5,91.5
Stark County,IL,22.8,21.5,5.4,0.2,0.7,0.9,2,0.1,1.6,96.6,94.9
Stark County,ND,13.9,27.1,8.6,1.7,1.6,3,5.7,0.1,2,91.7,86.8
Stark County,OH,19.9,21.3,5.6,0.3,1,8,2.2,0,2.7,88,86.2
Starke County,IN,19,22.5,5.8,0.5,0.2,0.4,4.1,-1,1.2,97.6,93.8
Starr County,TX,11.4,32.6,9.4,0.4,0.2,0.4,96.4,0,0.3,98.6,3.3
Staunton city,VA,21,19,5.9,0.3,1.4,11.3,3.1,0.1,3.2,83.4,81.1
Ste. Genevieve County,MO,20.1,21.9,5.6,0.3,0.3,0.9,1.3,0.7,1.2,96.7,95.6
Stearns County,MN,15.5,23.2,6.5,0.4,2.4,7.8,3.6,0.1,1.8,87.5,84.6
Steele County,MN,18.3,24.6,5.9,0.5,1.1,3.5,8.2,0,1.5,93.3,85.8
Steele County,ND,25.2,22,6.7,1.3,0.2,0.6,2.2,-1,1.1,96.8,94.8
Stephens County,GA,19.8,22.5,6.3,0.6,0.8,11,3.9,0.1,2.5,85,81.9
Stephens County,OK,20.3,23,5.8,6.1,0.7,2.1,8.2,0.1,4.8,86.2,79.5
Stephens County,TX,20.2,22,5.6,1.3,0.8,3,24.4,0.1,1.3,93.4,70.4
Stephenson County,IL,23.4,21.3,5.6,0.3,0.7,10.4,4.3,0,3.1,85.4,81.8
Sterling County,TX,14.4,28.5,7.1,2.3,0.4,2.1,40.8,0.1,1.7,93.4,54.6
Steuben County,IN,21,20.2,5.3,0.4,0.7,0.9,3.7,0.1,1.2,96.8,93.4
Steuben County,NY,20.1,21.3,5.4,0.3,1.6,1.7,1.7,0,1.6,94.8,93.4
Stevens County,KS,16.7,28.1,6.2,1.9,0.7,0.9,37.4,0.1,1.9,94.5,59.3
Stevens County,MN,17.4,21.4,6.1,1.8,2.2,1.3,7.7,0.1,2.4,92.2,85.8
Stevens County,WA,23.9,21.2,5.2,5.8,0.8,0.6,3.8,0.2,3.4,89.2,86.3
Stewart County,GA,15,10.8,2.9,0.9,3.2,48.5,33.4,0,1.7,45.7,22.3
Stewart County,TN,20.7,20.7,5.4,0.8,1,1.9,3.5,0.1,2,94.2,91.2
Stillwater County,MT,23.5,21.1,4.3,1.2,0.6,0.3,4.3,0,2,95.9,92.4
Stoddard County,MO,20.3,21.8,5.6,0.5,0.4,1.3,1.8,0,1.2,96.7,95.2
Stokes County,NC,21.8,18.5,4.5,0.5,0.4,4.1,3.3,0,1.3,93.7,90.9
Stone County,AR,27.9,19.1,4.9,0.9,0.5,0.4,1.9,0,1.9,96.2,94.5
Stone County,MO,31.6,16.4,4,0.9,0.4,0.4,2.4,0.2,1.6,96.5,94.6
Stone County,MS,16.8,21.6,5.6,0.6,0.4,19.1,2.1,0.1,1.4,78.4,76.8
Stonewall County,TX,26.7,22.4,5.8,1.7,1.3,3.3,17.9,-1,2.1,91.6,75.6
Storey County,NV,32.2,12.1,2.1,1.9,2.4,1.7,8,0.5,2.5,90.9,83.6
Story County,IA,12.6,16.5,4.4,0.3,8.1,3.1,3.7,0,1.9,86.6,83.5
Strafford County,NH,15.4,18.2,4.5,0.3,3.7,1.4,2.8,0.1,2,92.5,90.2
Stutsman County,ND,19.9,20,5.3,1.8,0.9,1.8,2.6,0.1,1.7,93.7,91.8
